iSub,feature_name,level,threshold_mean_mean
101,neck,1,0.018500000000000003
101,neck,2,0.023266666666666665
101,neck,3,0.021666666666666667
101,neck,4,0.030000000000000002
101,neck,5,0.0256
101,head,1,0.014333333333333333
101,head,2,0.01983333333333333
101,head,3,0.021333333333333333
101,head,4,0.013699999999999999
101,head,5,0.0191
101,leg,1,0.015533333333333333
101,leg,2,0.029
101,leg,3,0.018733333333333334
101,leg,4,0.021666666666666667
101,leg,5,0.013466666666666667
101,tail,1,0.014133333333333333
101,tail,2,0.021766666666666667
101,tail,3,0.019066666666666666
101,tail,4,0.023366666666666664
101,tail,5,0.019533333333333333
102,neck,1,0.019666666666666666
102,neck,2,0.0136
102,neck,3,0.018366666666666667
102,neck,4,0.016433333333333335
102,neck,5,0.012866666666666667
102,head,1,0.011266666666666668
102,head,2,0.0166
102,head,3,0.019066666666666666
102,head,4,0.013866666666666666
102,head,5,0.012166666666666666
102,leg,1,0.013666666666666666
102,leg,2,0.013066666666666667
102,leg,3,0.018766666666666668
102,leg,4,0.01633333333333333
102,leg,5,0.017533333333333335
102,tail,1,0.013533333333333333
102,tail,2,0.019933333333333334
102,tail,3,0.016533333333333334
102,tail,4,0.016033333333333333
102,tail,5,0.017033333333333334
103,neck,1,0.0146
103,neck,2,0.01933333333333333
103,neck,3,0.017833333333333333
103,neck,4,0.02323333333333333
103,neck,5,0.019899999999999998
103,head,1,0.016733333333333333
103,head,2,0.020666666666666667
103,head,3,0.0209
103,head,4,0.01883333333333333
103,head,5,0.020233333333333332
103,leg,1,0.0188
103,leg,2,0.015433333333333334
103,leg,3,0.018333333333333333
103,leg,4,0.019666666666666666
103,leg,5,0.021833333333333333
103,tail,1,0.014
103,tail,2,0.0235
103,tail,3,0.014833333333333334
103,tail,4,0.0139
103,tail,5,0.016933333333333335
104,neck,1,0.0196
104,neck,2,0.022633333333333335
104,neck,3,0.016166666666666666
104,neck,4,0.021033333333333334
104,neck,5,0.0206
104,head,1,0.0188
104,head,2,0.024733333333333333
104,head,3,0.0167
104,head,4,0.016366666666666665
104,head,5,0.021933333333333336
104,leg,1,0.017
104,leg,2,0.03136666666666667
104,leg,3,0.013866666666666666
104,leg,4,0.0128
104,leg,5,0.0268
104,tail,1,0.052566666666666664
104,tail,2,0.0431
104,tail,3,0.0523
104,tail,4,0.04883333333333333
104,tail,5,0.0436
105,neck,1,0.013033333333333334
105,neck,2,0.021766666666666667
105,neck,3,0.024833333333333332
105,neck,4,0.026266666666666667
105,neck,5,0.025833333333333333
105,head,1,0.016766666666666666
105,head,2,0.01633333333333333
105,head,3,0.012199999999999999
105,head,4,0.021566666666666668
105,head,5,0.0126
105,leg,1,0.012933333333333333
105,leg,2,0.0241
105,leg,3,0.024133333333333333
105,leg,4,0.02793333333333333
105,leg,5,0.023166666666666665
105,tail,1,0.015533333333333333
105,tail,2,0.028
105,tail,3,0.0245
105,tail,4,0.03886666666666667
105,tail,5,0.027333333333333334
106,neck,1,0.029766666666666667
106,neck,2,0.0267
106,neck,3,0.024033333333333334
106,neck,4,0.0152
106,neck,5,0.03546666666666667
106,head,1,0.024533333333333334
106,head,2,0.0246
106,head,3,0.027200000000000002
106,head,4,0.03896666666666667
106,head,5,0.032766666666666666
106,leg,1,0.016466666666666668
106,leg,2,0.015533333333333335
106,leg,3,0.0273
106,leg,4,0.02743333333333333
106,leg,5,0.023799999999999998
106,tail,1,0.016733333333333333
106,tail,2,0.024166666666666666
106,tail,3,0.028766666666666666
106,tail,4,0.036833333333333336
106,tail,5,0.0361
107,neck,1,0.018666666666666668
107,neck,2,0.0322
107,neck,3,0.0292
107,neck,4,0.026833333333333334
107,neck,5,0.030466666666666666
107,head,1,0.015433333333333334
107,head,2,0.0248
107,head,3,0.018366666666666667
107,head,4,0.021566666666666668
107,head,5,0.021633333333333334
107,leg,1,0.021166666666666667
107,leg,2,0.0197
107,leg,3,0.025366666666666666
107,leg,4,0.022433333333333336
107,leg,5,0.023533333333333333
