iSession,iTrial,text
1,1,头最短，脖子最长。
1,2,头最长，脖子最短。
1,3,头比脖子长，腿最长。
1,4,头最短，脖子最长，尾巴与躯干等长。
1,5,头最长，脖子最短，尾巴与躯干等长。
1,6,腿最长，尾巴最短，脖子与头长度相似。
1,7,脖子比头长，腿短。
1,8,腿最短，脖子与头长度相似。
1,9,腿最短，脖子与头相似。
1,10,头比脖子长，腿长。
1,11,腿长，尾巴长，脖子与头相似。
1,12,腿短，尾巴短，脖子与头相似。
1,13,尾巴最长。
1,14,脖子比头长，腿短。
1,15,头比脖子长，腿长。
1,16,脖子比头长。
1,17,脖子比头长。
1,18,头比脖子长，腿与尾巴长度相似。
1,19,脖子比头长，脖子与尾巴长度相似。
1,20,脖子与尾巴长度相似，腿短。
1,21,腿短。
1,22,脖子比头长。
1,23,头比脖子长，尾巴长。
1,24,脖子比头长。
1,25,脖子比头长，腿和尾巴短。
1,26,腿和尾巴最短。
1,27,头比脖子长。
1,28,脖子比头长。
1,29,头比脖子长，腿短。
1,30,头比脖子长，腿短。
1,31,脖子与头长度相似，尾巴长。
1,32,头比脖子长，尾巴和腿等长。
1,33,脖子比头长，尾巴与腿等长。
1,34,头比脖子长，尾巴与腿等长。
1,35,腿最短，脖子与头等长。
1,36,头比脖子长。
1,37,头比脖子长。
1,38,脖子比头长。
1,39,头比脖子长。
1,40,脖子比头长，尾巴和腿等长。
1,41,头比脖子长。
1,42,脖子比头长。
1,43,头比脖子长。
1,44,脖子比头长，尾巴与腿等长。
1,45,头比脖子长，脖子与腿等长。
1,46,脖子比头长，头与腿等长。
1,47,脖子比头长，头与腿等长。
1,48,尾巴最短。
1,49,脖子比头长，尾巴和腿长度相似。
1,50,头比脖子长，尾巴和腿长度相似。
1,51,脖子比头长，腿短。
1,52,头比脖子长。
1,53,腿与尾巴，最短。
1,54,头比脖子长，尾巴与腿长度相似。
1,55,脖子与腿长度相似，且长度长于头。
1,56,头与尾巴长度相似，头比脖子长，腿最短。
1,57,脖子与腿长度相似，尾巴最长。
1,58,头与尾巴长度相似，腿最短。
1,59,脖子最长，头最短。
