condition,iSession,iBlock,iTrial,stiID,category,ambiguous,choice,presskey,feedback,choRT,recDU
3,1,1,1,15,3,0,1,1,0,42.677,5.062
3,1,1,2,18,1,0,1,1,1,9.444,4.341
3,1,1,3,4,1,0,3,2,0,13.418,4.046
3,1,1,4,28,4,1,3,2,0.5,6.056,4.307
3,1,1,5,37,2,1,4,3,0,10.454,4.098
3,1,1,6,6,1,0,4,3,0,11.276,3.541
3,1,1,7,39,2,0,4,3,0,35.651,2.763
3,1,1,8,42,3,0,2,4,0,8.615,4.226
3,1,1,9,25,4,0,4,3,1,11.61,3.733
3,1,1,10,34,2,0,3,2,0,6.162,4.164
3,1,1,11,50,2,0,1,1,0.5,10.291,3.718
3,1,1,12,12,3,0,2,4,0,12.288,3.525
3,1,1,13,7,1,1,4,3,0,9.235,3.054
3,1,1,14,45,3,0,1,1,0,16.851,3.023
3,1,1,15,51,2,0,4,3,0,15.794,5.882
3,1,1,16,48,3,0,3,2,1,32.604,3.623
3,1,1,17,35,2,0,2,4,1,10.234,4.176
3,1,1,18,20,1,0,4,3,0,18.719,4.623
3,1,1,19,9,3,1,4,3,0.5,24.394,4.397
3,1,1,20,29,4,1,4,3,1,22.723,3.956
3,1,1,21,58,4,0,1,1,0,13.344,3.935
3,1,1,22,64,4,0,3,2,0.5,35.97,5.394
3,1,1,23,36,2,0,1,1,0.5,8.792,6.165
3,1,1,24,46,3,1,1,1,0,12.903,3.817
3,1,1,25,56,2,0,3,2,0,25.344,4.636
3,1,1,26,63,4,1,4,3,1,15.205,4.404
3,1,1,27,38,2,1,1,1,0.5,26.447,3.891
3,1,1,28,16,3,1,2,4,0,8.317,5.508
3,1,1,29,11,3,0,4,3,0.5,15.035,4.885
3,1,1,30,57,4,0,3,2,0.5,31.861,4.417
3,1,1,31,24,1,0,1,1,1,19.401,4.093
3,1,1,32,27,4,0,1,1,0,5.941,4.063
3,1,1,33,2,1,1,3,2,0,29.556,3.118
3,1,1,34,32,4,1,4,3,1,15.592,3.943
3,1,1,35,59,4,0,3,2,0.5,21.383,3.764
3,1,1,36,1,1,1,2,4,0.5,4.633,4.206
3,1,1,37,53,2,0,2,4,1,29.835,4.813
3,1,1,38,47,3,1,4,3,0.5,6.913,3.43
3,1,1,39,26,4,0,4,3,1,3.83,4.162
3,1,1,40,33,2,0,3,2,0,12.497,4.386
3,1,1,41,5,1,0,2,4,0.5,2.158,4.219
3,1,1,42,30,4,1,1,1,0,18.503,3.71
3,1,1,43,3,1,0,2,4,0.5,12.843,4
3,1,1,44,61,4,1,2,4,0,5.337,4.843
3,1,1,45,49,2,1,1,1,0.5,11.006,4.484
3,1,1,46,41,3,1,4,3,0.5,3.986,3.884
3,1,1,47,14,3,0,3,2,1,12.551,4.901
3,1,1,48,54,2,0,1,1,0.5,5.886,4.308
3,1,1,49,60,4,0,2,4,0,2.309,4.172
3,1,1,50,40,2,1,1,1,0.5,15.492,3.22
3,1,1,51,13,3,1,1,1,0,4.147,4.512
3,1,1,52,62,4,0,3,2,0.5,11.053,4.036
3,1,1,53,44,3,0,4,3,0.5,5.531,3.868
3,1,1,54,43,3,0,2,4,0,3.43,4.324
3,1,1,55,52,2,0,1,1,0.5,18.668,5.872
3,1,1,56,8,1,0,1,1,1,5.654,4.6
3,1,1,57,31,4,1,4,3,1,4.181,3.534
3,1,1,58,55,2,0,3,2,0,11.158,3.666
3,1,1,59,23,1,0,3,2,0,12.801,5.223
3,1,1,60,22,1,0,2,4,0.5,5.956,6.68
3,1,1,61,10,3,1,3,2,1,9.951,4.042
3,1,1,62,19,1,0,1,1,1,7.203,6.003
3,1,1,63,17,1,0,2,4,0.5,4.749,3.689
3,1,1,64,21,1,0,1,1,1,7.07,4.137
3,1,2,65,114,2,0,1,1,0.5,2.205,4.364
3,1,2,66,89,1,0,2,4,0.5,9.991,4.531
3,1,2,67,74,3,0,4,3,0.5,6.564,3.86
3,1,2,68,84,1,0,1,1,1,4.801,4.179
3,1,2,69,117,2,0,2,4,1,5.455,4.883
3,1,2,70,85,1,0,1,1,1,2.417,4.729
3,1,2,71,128,4,0,3,2,0.5,6.89,3.718
3,1,2,72,67,1,0,1,1,1,4.684,3.704
3,1,2,73,65,1,1,1,1,1,5.646,5.792
3,1,2,74,91,4,0,3,2,0.5,11.573,5.549
3,1,2,75,80,3,0,4,3,0.5,5.666,4.852
3,1,2,76,115,2,0,1,1,0.5,5.084,4.9
3,1,2,77,113,2,0,2,4,1,11.137,3.802
3,1,2,78,66,1,1,1,1,1,3.526,3.205
3,1,2,79,96,4,0,4,3,1,11.312,4.781
3,1,2,80,126,4,1,1,1,0,3.011,3.694
3,1,2,81,72,1,0,1,1,1,5.228,5.294
3,1,2,82,68,1,1,2,4,0.5,8.241,4.217
3,1,2,83,70,1,0,2,4,0.5,5.256,5.534
3,1,2,84,109,3,0,3,2,1,7.977,4.909
3,1,2,85,82,1,0,2,4,0.5,8.225,5.463
3,1,2,86,95,4,0,4,3,1,3.912,5.46
3,1,2,87,75,3,0,3,2,1,5.586,5.369
3,1,2,88,111,3,0,3,2,1,1.546,5.58
3,1,2,89,110,3,1,3,2,1,3.411,5.098
3,1,2,90,120,2,0,1,1,0.5,10.048,6.987
3,1,2,91,99,2,0,1,1,0.5,13.029,5.444
3,1,2,92,78,3,0,3,2,1,4.236,4.588
3,1,2,93,106,3,0,3,2,1,1.825,4.179
3,1,2,94,108,3,0,3,2,1,3.189,4.181
3,1,2,95,123,4,1,4,3,1,2.605,4.607
3,1,2,96,127,4,0,3,2,0.5,1.887,5.647
3,1,2,97,107,3,0,3,2,1,3.357,5.469
3,1,2,98,73,3,1,4,3,0.5,2.097,5.267
3,1,2,99,86,1,0,1,1,1,18.356,5.117
3,1,2,100,97,2,0,1,1,0.5,3.744,4.48
3,1,2,101,124,4,0,4,3,1,7.085,4.604
3,1,2,102,104,2,0,1,1,0.5,19.668,3.236
3,1,2,103,94,4,0,4,3,1,2.211,4.349
3,1,2,104,116,2,0,2,4,1,6.867,5.645
3,1,2,105,81,1,0,1,1,1,5.622,4.622
3,1,2,106,122,4,0,4,3,1,2.233,4.813
3,1,2,107,105,3,0,3,2,1,1.959,4.052
3,1,2,108,98,2,1,2,4,1,3.381,4.765
3,1,2,109,87,1,0,1,1,1,1.841,5.083
3,1,2,110,71,1,0,1,1,1,5.623,4.124
3,1,2,111,103,2,1,2,4,1,1.434,6.735
3,1,2,112,88,1,0,1,1,1,1.391,4.253
3,1,2,113,77,3,0,3,2,1,2.928,3.871
3,1,2,114,121,4,1,3,2,0.5,2.434,3.847
3,1,2,115,125,4,0,3,2,0.5,8.192,4.146
3,1,2,116,69,1,0,1,1,1,1.98,4.33
3,1,2,117,83,1,0,1,1,1,2.026,5.189
3,1,2,118,92,4,0,4,3,1,3.927,3.94
3,1,2,119,118,2,0,2,4,1,1.962,4.726
3,1,2,120,102,2,0,2,4,1,1.328,4.915
3,1,2,121,93,4,0,4,3,1,3.194,3.773
3,1,2,122,76,3,0,3,2,1,2.089,4.023
3,1,2,123,100,2,0,2,4,1,2.067,4.636
3,1,2,124,119,2,0,2,4,1,1.836,4.57
3,1,2,125,79,3,0,3,2,1,3.077,4.31
3,1,2,126,112,3,0,3,2,1,1.288,4.522
3,1,2,127,101,2,1,2,4,1,2.09,4.943
3,1,2,128,90,4,1,4,3,1,6.735,3.714
3,1,3,129,134,1,0,1,1,1,5.016,4.148
3,1,3,130,178,2,0,2,4,1,1.762,4.252
3,1,3,131,171,3,0,3,2,1,4.192,4.327
3,1,3,132,145,1,1,1,1,1,4.235,4.281
3,1,3,133,182,2,1,2,4,1,2.519,4.874
3,1,3,134,167,2,1,1,1,0.5,1.712,5.058
3,1,3,135,165,2,0,1,1,0.5,4.596,4.776
3,1,3,136,166,2,0,2,4,1,1.44,4.276
3,1,3,137,155,4,0,1,1,0,8.124,4.508
3,1,3,138,152,1,0,1,1,1,6.622,4.668
3,1,3,139,174,3,0,3,2,1,3.33,4.531
3,1,3,140,187,4,0,3,2,0.5,4.514,4.868
3,1,3,141,137,3,0,3,2,1,2.48,6.243
3,1,3,142,154,4,0,4,3,1,3.676,5.199
3,1,3,143,161,2,0,2,4,1,5.216,5.322
3,1,3,144,190,4,1,4,3,1,11.278,3.991
3,1,3,145,151,1,1,1,1,1,6.357,4.092
3,1,3,146,150,1,0,1,1,1,1.415,4.207
3,1,3,147,133,1,0,1,1,1,1.859,4.489
3,1,3,148,189,4,1,4,3,1,5.275,3.646
3,1,3,149,140,3,0,3,2,1,1.023,5.311
3,1,3,150,188,4,1,4,3,1,1.661,4.001
3,1,3,151,132,1,0,1,1,1,2.755,4.925
3,1,3,152,129,1,1,1,1,1,2.694,4.541
3,1,3,153,179,2,1,1,1,0.5,5.482,5.191
3,1,3,154,168,3,0,3,2,1,6.083,4.686
