iSub,feature_name,level,threshold_mean_mean
401,green,1,0.022433333333333336
401,green,2,0.022633333333333335
401,green,3,0.013266666666666668
401,green,4,0.017166666666666667
401,green,5,0.026333333333333334
401,yellow,1,0.02383333333333333
401,yellow,2,0.0178
401,yellow,3,0.0267
401,yellow,4,0.036333333333333336
401,yellow,5,0.028733333333333333
401,pink,1,0.015000000000000001
401,pink,2,0.02793333333333333
401,pink,3,0.02646666666666667
401,pink,4,0.0267
401,pink,5,0.03326666666666667
401,blue,1,0.0211
401,blue,2,0.022000000000000002
401,blue,3,0.020933333333333335
401,blue,4,0.02493333333333333
401,blue,5,0.02343333333333333
402,green,1,0.0237
402,green,2,0.0278
402,green,3,0.028266666666666666
402,green,4,0.0197
402,green,5,0.023899999999999998
402,yellow,1,0.030600000000000002
402,yellow,2,0.0245
402,yellow,3,0.026733333333333335
402,yellow,4,0.02596666666666667
402,yellow,5,0.0297
402,pink,1,0.020833333333333332
402,pink,2,0.0264
402,pink,3,0.0261
402,pink,4,0.0206
402,pink,5,0.020833333333333332
402,blue,1,0.021633333333333334
402,blue,2,0.030133333333333335
402,blue,3,0.027000000000000003
402,blue,4,0.030000000000000002
402,blue,5,0.025
403,green,1,0.010633333333333333
403,green,2,0.013866666666666666
403,green,3,0.015333333333333334
403,green,4,0.0177
403,green,5,0.018733333333333334
403,yellow,1,0.020966666666666668
403,yellow,2,0.017400000000000002
403,yellow,3,0.0167
403,yellow,4,0.02293333333333333
403,yellow,5,0.0151
403,pink,1,0.015733333333333332
403,pink,2,0.018266666666666667
403,pink,3,0.0156
403,pink,4,0.0227
403,pink,5,0.020966666666666668
403,blue,1,0.012166666666666666
403,blue,2,0.015966666666666667
403,blue,3,0.0159
403,blue,4,0.0206
403,blue,5,0.014666666666666666
