subID,feature,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
401,2,1,1,1.000,1.070,0.070,0.000,0.023,0.023,2,2,1,0.983,0.022,0.017
401,2,1,2,1.000,1.066,0.066,0.000,0.022,0.022,2,2,1,0.876,0.021,0.017
401,2,1,3,1.000,1.062,0.062,0.000,0.021,0.021,1,1,1,0.552,0.020,0.017
401,2,1,4,1.000,1.058,0.058,0.000,0.019,0.019,1,2,0,0.840,0.023,0.016
401,2,1,5,1.000,1.067,0.067,0.000,0.022,0.022,1,1,1,0.389,0.021,0.016
401,2,1,6,1.000,1.063,0.063,0.000,0.021,0.021,1,1,1,0.607,0.020,0.016
401,2,1,7,1.000,1.060,0.060,0.000,0.020,0.020,2,2,1,0.410,0.019,0.016
401,2,1,8,1.000,1.056,0.056,0.000,0.019,0.019,1,2,0,1.083,0.022,0.016
401,2,1,9,1.000,1.065,0.065,0.000,0.022,0.022,2,1,0,0.422,0.024,0.016
401,2,1,10,1.000,1.073,0.073,0.000,0.024,0.024,1,1,1,0.429,0.023,0.016
401,2,1,11,1.000,1.069,0.069,0.000,0.023,0.023,2,2,1,1.419,0.022,0.016
401,2,1,12,1.000,1.066,0.066,0.000,0.022,0.022,2,2,1,1.137,0.021,0.016
401,2,1,13,1.000,1.062,0.062,0.000,0.021,0.021,2,1,0,0.354,0.024,0.015
401,2,1,14,1.000,1.070,0.070,0.000,0.023,0.023,1,1,1,0.779,0.023,0.015
401,2,1,15,1.000,1.067,0.067,0.000,0.022,0.022,1,1,1,0.463,0.022,0.015
401,2,1,16,1.000,1.063,0.063,0.000,0.021,0.021,1,1,1,0.551,0.021,0.015
401,2,1,17,1.000,1.060,0.060,0.000,0.020,0.020,2,2,1,1.041,0.019,0.015
401,2,1,18,1.000,1.057,0.057,0.000,0.019,0.019,2,1,0,0.815,0.022,0.015
401,2,1,19,1.000,1.064,0.064,0.000,0.021,0.021,1,1,1,0.660,0.021,0.015
401,2,1,20,1.000,1.061,0.061,0.000,0.020,0.020,2,1,0,1.933,0.023,0.015
401,2,1,21,1.000,1.068,0.068,0.000,0.023,0.023,2,1,0,1.963,0.026,0.015
401,2,1,22,1.000,1.075,0.075,0.000,0.025,0.025,1,2,0,2.275,0.028,0.014
401,2,1,23,1.000,1.082,0.082,0.000,0.027,0.027,2,2,1,0.687,0.027,0.014
401,2,1,24,1.000,1.080,0.080,0.000,0.027,0.027,2,1,0,1.268,0.029,0.014
401,2,1,25,1.000,1.086,0.086,0.000,0.029,0.029,1,1,1,0.294,0.028,0.014
401,2,1,26,1.000,1.083,0.083,0.000,0.028,0.028,1,1,1,0.314,0.027,0.014
401,2,1,27,1.000,1.081,0.081,0.000,0.027,0.027,2,2,1,0.748,0.027,0.014
401,2,1,28,1.000,1.078,0.078,0.000,0.026,0.026,2,1,0,1.516,0.029,0.014
401,2,1,29,1.000,1.084,0.084,0.000,0.028,0.028,2,1,0,0.995,0.031,0.014
401,2,1,30,1.000,1.090,0.090,0.000,0.030,0.030,1,1,1,1.205,0.030,0.014
401,2,2,1,1.750,1.680,-0.070,0.250,0.227,-0.023,1,1,1,0.855,0.022,0.017
401,2,2,2,1.750,1.684,-0.066,0.250,0.228,-0.022,2,1,0,0.314,0.025,0.016
401,2,2,3,1.750,1.675,-0.075,0.250,0.225,-0.025,1,1,1,0.553,0.024,0.016
401,2,2,4,1.750,1.821,0.071,0.250,0.274,0.024,1,1,1,0.303,0.023,0.016
401,2,2,5,1.750,1.682,-0.068,0.250,0.227,-0.023,2,1,0,0.271,0.026,0.016
401,2,2,6,1.750,1.826,0.076,0.250,0.275,0.025,2,2,1,0.261,0.024,0.016
401,2,2,7,1.750,1.677,-0.073,0.250,0.226,-0.024,1,1,1,0.289,0.023,0.016
401,2,2,8,1.750,1.819,0.069,0.250,0.273,0.023,2,1,0,0.453,0.026,0.016
401,2,2,9,1.750,1.673,-0.077,0.250,0.224,-0.026,1,1,1,0.381,0.025,0.016
401,2,2,10,1.750,1.824,0.074,0.250,0.275,0.025,2,2,1,0.661,0.024,0.016
401,2,2,11,1.750,1.680,-0.070,0.250,0.227,-0.023,1,1,1,1.815,0.023,0.016
