ruleID,iSession,iBlock,iTrial,stiID,category,choice,presskey,rating,feedback,choRT,rateRT,recDU
1,1,1,1,27,1,2,2,1,0,9.646,1.745,8.819
1,1,1,2,27,1,1,1,1,1,14.075,2.213,13.903
1,1,1,3,18,1,2,2,1,0,10.391,9.797,8.675
1,1,1,4,31,1,2,2,1,0,39.972,4.318,33.109
1,1,1,5,13,2,1,1,1,0,66.591,1.607,27.266
1,1,1,6,3,2,1,1,1,0,38.906,2.088,19.229
1,1,1,7,1,1,2,2,1,0,19.692,2.233,14.957
1,1,1,8,6,1,2,2,1,0,42.161,0.675,12.677
1,1,1,9,24,2,1,1,1,0,30.785,2.229,18.053
1,1,1,10,7,2,2,2,1,1,19.437,0.776,18.043
1,1,1,11,22,1,1,1,1,1,60.403,10.080,22.729
1,1,1,12,5,1,2,2,1,0,32.570,17.350,14.634
1,1,1,13,22,1,1,1,1,1,12.810,0.888,29.241
1,1,1,14,4,2,2,2,1,1,24.287,1.638,22.141
1,1,1,15,25,2,2,2,1,1,18.767,0.791,13.779
1,1,1,16,3,2,1,1,1,0,15.380,1.374,15.513
1,1,1,17,3,2,2,2,2,1,21.934,1.695,18.609
1,1,1,18,3,2,2,2,3,1,13.438,3.369,14.085
1,1,1,19,22,1,1,1,4,1,9.531,1.619,13.436
1,1,1,20,4,2,2,2,4,1,8.905,1.263,14.373
1,1,1,21,1,1,1,1,4,1,7.675,2.430,7.469
1,1,1,22,13,2,2,2,2,1,23.325,1.345,16.356
1,1,1,23,32,1,1,1,1,1,2.718,1.416,13.596
1,1,1,24,16,1,2,2,1,0,28.837,1.994,8.446
1,1,1,25,21,1,2,2,1,0,28.668,0.884,15.058
1,1,1,26,19,2,2,2,1,1,30.937,1.003,40.610
1,1,1,27,31,1,1,1,1,1,36.081,1.058,10.705
1,1,1,28,19,2,2,2,1,1,16.525,1.810,18.766
1,1,1,29,29,2,2,2,2,1,6.750,1.027,21.690
1,1,1,30,4,2,2,2,3,1,4.244,1.482,15.692
1,1,1,31,12,1,2,2,1,0,3.900,1.088,18.221
1,1,1,32,22,1,1,1,4,1,4.513,2.753,25.915
1,1,1,33,25,2,2,2,5,1,2.953,2.206,13.788
1,1,1,34,7,2,2,2,2,1,7.372,2.070,37.605
1,1,1,35,23,2,1,1,4,0,3.506,1.390,18.530
1,1,1,36,9,2,1,1,2,0,23.427,6.611,28.525
1,1,1,37,3,2,1,1,2,0,11.853,1.321,23.081
1,1,1,38,2,1,1,1,1,1,43.924,0.843,16.569
1,1,1,39,23,2,2,2,1,1,25.309,0.733,25.664
1,1,1,40,25,2,2,2,4,1,95.227,1.872,32.618
1,1,1,41,1,1,1,1,6,1,11.634,1.425,9.630
1,1,1,42,19,2,2,2,4,1,7.823,1.459,16.396
1,1,1,43,18,1,1,1,1,1,31.967,0.913,37.793
1,1,1,44,15,1,1,1,2,1,2.120,1.118,20.184
1,1,1,45,30,2,2,2,2,1,13.292,1.415,20.643
1,1,1,46,9,2,2,2,4,1,4.611,1.301,21.300
1,1,1,47,19,2,2,2,3,1,19.603,1.055,33.076
1,1,1,48,31,1,1,1,5,1,2.972,1.320,16.548
1,1,1,49,15,1,1,1,4,1,8.216,1.252,16.893
1,1,1,50,3,2,2,2,4,1,3.065,4.105,16.130
1,1,1,51,30,2,1,1,5,0,2.174,2.729,15.900
1,1,1,52,29,2,2,2,4,1,8.800,1.004,23.643
1,1,1,53,29,2,2,2,5,1,6.536,4.793,14.154
1,1,1,54,10,2,2,2,4,1,6.390,1.136,13.907
1,1,1,55,16,1,1,1,5,1,21.027,1.035,9.283
1,1,1,56,5,1,1,1,1,1,7.810,1.152,21.200
1,1,1,57,2,1,1,1,5,1,6.740,1.740,25.078
1,1,1,58,21,1,2,2,2,0,18.399,2.124,41.645
1,1,1,59,13,2,2,2,2,1,18.501,2.531,22.977
1,1,1,60,27,1,1,1,3,1,5.870,1.516,23.026
1,1,1,61,23,2,2,2,5,1,8.169,2.034,16.460
1,1,1,62,28,1,1,1,5,1,2.857,0.969,21.571
