ruleID,iSession,iBlock,iTrial,stiID,category,choice,presskey,rating,feedback,choRT,rateRT,recDU
1,2,1,1,18,1,2,2,1,0,1.783,4.728,12.919
1,2,1,2,1,1,1,1,1,1,9.467,1.221,19.051
1,2,1,3,29,2,1,1,1,0,14.425,1.191,10.005
1,2,1,4,12,1,1,1,1,1,16.345,1.683,9.710
1,2,1,5,1,1,1,1,2,1,6.073,0.942,8.748
1,2,1,6,30,2,2,2,2,1,3.549,1.058,6.970
1,2,1,7,20,2,1,1,2,0,3.333,0.717,5.713
1,2,1,8,17,1,2,2,2,0,23.407,0.617,5.549
1,2,1,9,5,1,1,1,1,1,62.473,1.024,9.500
1,2,1,10,2,1,1,1,2,1,4.138,0.477,7.165
1,2,1,11,19,2,2,2,3,1,5.870,0.362,6.321
1,2,1,12,10,2,2,2,3,1,6.335,0.359,9.528
1,2,1,13,21,1,1,1,3,1,3.995,0.455,8.398
1,2,1,14,29,2,2,2,3,1,5.881,0.294,6.580
1,2,1,15,31,1,1,1,3,1,5.154,0.368,5.493
1,2,1,16,5,1,1,1,3,1,1.448,1.532,11.409
1,2,1,17,8,2,2,2,6,1,6.993,1.155,6.029
1,2,1,18,23,2,2,2,6,1,5.251,1.074,6.305
1,2,1,19,31,1,1,1,6,1,2.840,0.265,6.059
1,2,1,20,26,2,2,2,6,1,5.411,0.762,6.645
1,2,1,21,7,2,2,2,6,1,5.529,0.797,5.592
1,2,1,22,12,1,1,1,6,1,3.443,0.548,6.435
1,2,1,23,25,2,2,2,6,1,3.325,0.251,5.974
1,2,1,24,17,1,1,1,6,1,5.865,0.730,6.947
1,2,1,25,10,2,2,2,6,1,3.462,0.393,5.714
1,2,1,26,23,2,2,2,6,1,4.949,0.393,5.594
1,2,1,27,24,2,2,2,6,1,5.399,0.549,6.226
1,2,1,28,32,1,1,1,6,1,7.778,0.488,6.086
1,2,1,29,21,1,1,1,6,1,3.649,0.546,6.525
1,2,1,30,9,2,2,2,6,1,2.247,0.875,7.240
1,2,1,31,6,1,1,1,6,1,5.439,0.679,8.941
1,2,1,32,24,2,2,2,6,1,2.262,0.429,6.782
1,2,1,33,28,1,1,1,6,1,12.727,1.091,8.010
1,2,1,34,15,1,1,1,6,1,9.669,0.526,7.829
1,2,1,35,4,2,2,2,6,1,3.105,0.383,4.842
1,2,1,36,3,2,2,2,6,1,4.416,0.682,6.028
1,2,1,37,7,2,2,2,6,1,7.007,0.680,4.770
1,2,1,38,27,1,1,1,6,1,4.443,0.504,5.057
1,2,1,39,11,1,1,1,6,1,5.388,0.485,6.043
1,2,1,40,6,1,1,1,6,1,3.953,0.531,6.778
1,2,1,41,8,2,2,2,6,1,1.954,0.564,5.934
1,2,1,42,14,2,2,2,6,1,2.506,0.238,6.313
1,2,1,43,2,1,1,1,6,1,2.707,0.354,6.043
1,2,1,44,30,2,2,2,6,1,3.410,0.567,7.228
1,2,1,45,19,2,2,2,6,1,2.745,0.414,6.038
1,2,1,46,25,2,2,2,6,1,2.054,0.453,4.933
1,2,1,47,14,2,2,2,6,1,5.258,0.528,5.217
1,2,1,48,16,1,1,1,6,1,2.876,0.536,5.667
1,2,1,49,3,2,2,2,6,1,5.576,0.973,7.811
1,2,1,50,32,1,1,1,6,1,1.143,0.315,4.654
1,2,1,51,22,1,1,1,6,1,4.724,1.481,5.419
1,2,1,52,13,2,2,2,6,1,5.376,0.357,5.281
1,2,1,53,4,2,2,2,6,1,2.837,0.349,5.026
1,2,1,54,28,1,1,1,6,1,2.327,0.283,5.372
1,2,1,55,27,1,1,1,6,1,2.893,0.341,5.169
1,2,1,56,9,2,2,2,6,1,5.948,0.296,5.248
1,2,1,57,16,1,1,1,6,1,3.726,0.439,5.973
1,2,1,58,13,2,2,2,6,1,2.530,0.325,5.252
1,2,1,59,20,2,2,2,6,1,3.798,0.379,4.747
1,2,1,60,11,1,1,1,6,1,2.271,0.431,6.141
1,2,1,61,15,1,1,1,6,1,3.803,0.285,5.286
1,2,1,62,22,1,1,1,6,1,3.552,0.224,5.130
1,2,1,63,26,2,2,2,6,1,2.626,0.305,5.300
1,2,1,64,18,1,1,1,6,1,2.095,0.312,5.289
