iSub,condition,feature1_name,feature2_name,feature3_name,feature4_name,iSession,iRun,iTrial,feature1,feature2,feature3,feature4,category,choice,rating,feedback,ambiguous,choRT,text,A,b,n_constraints,matched_rules,un_pro
333,3,green,yellow,pink,blue,1,1,1,0.338540307617467,0.249531275589439,0.477226975418779,0.656601421582224,1,1,1,1.0,1,0.512,,,,,,
333,3,green,yellow,pink,blue,1,1,2,0.193323880727257,0.340363744753379,0.955913489733858,0.55547155083189,1,2,1,0.5,0,1.373,,,,,,
333,3,green,yellow,pink,blue,1,1,3,0.182550236718842,0.600126070319594,0.638884508750067,0.951751408155542,2,2,1,1.0,0,1.162,,,,,,
333,3,green,yellow,pink,blue,1,1,4,0.736529729451832,0.772264406378498,0.285717449112933,0.649631249371428,3,3,2,1.0,0,1.789,,,,,,
333,3,green,yellow,pink,blue,1,1,5,0.372588055010565,0.314297241599861,0.0839876034528789,0.684813055013724,1,2,2,0.5,0,4.632,,,,,,
333,3,green,yellow,pink,blue,1,1,6,0.667858827384855,0.545615197730496,0.711283365753476,0.135772361184586,4,4,1,1.0,1,2.493,,,,,,
333,3,green,yellow,pink,blue,1,1,7,0.620496807396374,0.0001673332202744,0.319220219016344,0.333971195463847,3,2,1,0.0,0,1.686,,,,,,
333,3,green,yellow,pink,blue,1,1,8,0.777020195962353,0.955800198159682,0.166473724211922,0.96209055528601,3,3,3,1.0,0,1.613,,,,,,
333,3,green,yellow,pink,blue,1,1,9,0.380615452356077,0.78251600563847,0.522987240270632,0.870633086768111,2,2,1,1.0,1,0.641,,,,,,
333,3,green,yellow,pink,blue,1,1,10,0.760644250042984,0.381570223641606,0.875618999723335,0.336988074376244,4,4,2,1.0,0,2.874,,,,,,
333,3,green,yellow,pink,blue,1,1,11,0.838391789117747,0.858345353961738,0.335890646698906,0.948998357808051,3,3,3,1.0,0,3.108,,,,,,
333,3,green,yellow,pink,blue,1,1,12,0.602709013562678,0.0831554573819205,0.875800907274642,0.441276481977924,4,1,3,0.0,0,0.296,,,,,,
333,3,green,yellow,pink,blue,1,1,13,0.281418491488066,0.858459047382738,0.0955347181010384,0.0026573956572328,2,1,3,0.5,0,2.24,,,,,,
333,3,green,yellow,pink,blue,1,1,14,0.150655375091456,0.376805873557448,0.421078492268306,0.913102638265413,1,2,1,0.5,0,2.976,,,,,,
333,3,green,yellow,pink,blue,1,1,15,0.693348700285336,0.611351033805061,0.136319284438865,0.291474836337739,3,3,2,1.0,0,0.352,,,,,,
333,3,green,yellow,pink,blue,1,1,16,0.757044097576085,0.83905846635311,0.567999560951486,0.622812243556119,4,1,2,0.0,0,3.626,,,,,,
333,3,green,yellow,pink,blue,1,1,17,0.60858867500497,0.747809997257011,0.103040891831042,0.651572314951661,3,3,3,1.0,0,1.179,,,,,,
333,3,green,yellow,pink,blue,1,1,18,0.635319193290866,0.80529598019842,0.792754487111617,0.888868229574326,4,1,1,0.0,0,1.547,,,,,,
333,3,green,yellow,pink,blue,1,1,19,0.854162597098904,0.487356690115702,0.706066266637805,0.576423571807912,4,1,1,0.0,1,1.186,,,,,,
333,3,green,yellow,pink,blue,1,1,20,0.839824250248795,0.239659340311907,0.238782862798406,0.751914802202189,3,3,1,1.0,0,0.336,,,,,,
333,3,green,yellow,pink,blue,1,1,21,0.404435093867519,0.36767295259649,0.952379627664773,0.819934006911178,1,1,1,1.0,0,0.888,,,,,,
333,3,green,yellow,pink,blue,1,1,22,0.510888498745883,0.357142096135755,0.370324906133733,0.733827784440533,3,1,1,0.0,1,4.104,,,,,,
333,3,green,yellow,pink,blue,1,1,23,0.986569246990042,0.523011178614968,0.789039117811581,0.185858357907612,4,4,1,1.0,1,1.712,,,,,,
333,3,green,yellow,pink,blue,1,1,24,0.337122320524509,0.479627198939952,0.418474674850211,0.969212765288818,1,2,1,0.5,1,1.328,,,,,,
