condition,seqID,iSession,iRun,iTrial,stiID,category,ambiguous,miss,choice,presskey,rating,feedback,fixDU,choRT,rateRT,fdbDU
3,1,1,1,1,1,1,1,0,1,2,1,1.0,1.311,0.512,1.888,2.975
3,1,1,1,2,2,1,0,0,2,3,1,0.5,1.041,1.373,1.554,2.004
3,1,1,1,3,3,2,0,0,2,3,1,1.0,1.133,1.162,1.244,1.882
3,1,1,1,4,4,3,0,0,3,1,2,1.0,1.268,1.789,1.723,1.589
3,1,1,1,5,5,1,0,0,2,3,2,0.5,1.475,4.632,2.33,1.242
3,1,1,1,6,6,4,1,0,4,4,1,1.0,1.479,2.493,0.941,1.162
3,1,1,1,7,7,3,0,0,2,3,1,0.0,1.072,1.686,0.95,1.258
3,1,1,1,8,8,3,0,0,3,1,3,1.0,1.482,1.613,3.215,1.633
3,1,1,1,9,9,2,1,0,2,3,1,1.0,1.475,0.641,2.392,1.271
3,1,1,1,10,10,4,0,0,4,4,2,1.0,1.237,2.874,1.351,1.023
3,1,1,1,11,11,3,0,0,3,1,3,1.0,1.396,3.108,1.379,0.594
3,1,1,1,12,12,4,0,0,1,2,3,0.0,1.064,0.296,2.035,1.169
3,1,1,1,13,13,2,0,0,1,2,3,0.5,1.205,2.24,0.845,1.154
3,1,1,1,14,14,1,0,0,2,3,1,0.5,1.454,2.976,1.211,0.817
3,1,1,1,15,15,3,0,0,3,1,2,1.0,1.392,0.352,1.87,0.755
3,1,1,1,16,16,4,0,0,1,2,2,0.0,1.476,3.626,0.815,0.746
3,1,1,1,17,17,3,0,0,3,1,3,1.0,1.323,1.179,1.009,0.371
3,1,1,1,18,18,4,0,0,1,2,1,0.0,1.01,1.547,2.21,0.708
3,1,1,1,19,19,4,1,0,1,2,1,0.0,1.42,1.186,0.692,0.537
3,1,1,1,20,20,3,0,0,3,1,1,1.0,1.463,0.336,0.851,0.443
3,1,1,1,21,21,1,0,0,1,2,1,1.0,1.334,0.888,3.5,2.011
3,1,1,1,22,22,3,1,0,1,2,1,0.0,1.374,4.104,0.719,0.497
3,1,1,1,23,23,4,1,0,4,4,1,1.0,1.367,1.712,1.003,0.401
3,1,1,1,24,24,1,1,0,2,3,1,0.5,1.19,1.328,1.217,0.601
3,1,1,1,25,25,3,1,0,1,2,2,0.0,1.323,7.117,0.749,0.473
3,1,1,1,26,26,4,0,0,1,2,1,0.0,1.078,4.28,3.09,0.395
3,1,1,1,27,27,4,0,0,4,4,1,1.0,1.348,1.163,2.161,0.419
3,1,1,1,28,28,4,0,0,1,2,2,0.0,1.008,4.782,1.332,0.617
3,1,1,1,29,29,1,0,0,1,2,1,1.0,1.132,0.594,0.842,0.661
3,1,1,1,30,30,2,0,0,4,4,1,0.0,1.015,2.238,0.84,0.45
3,1,1,1,31,31,1,0,0,3,1,1,0.0,1.041,5.414,2.868,0.403
3,1,1,1,32,32,2,0,0,4,4,1,0.0,1.407,1.615,0.964,0.372
3,1,1,1,33,33,4,0,0,4,4,1,1.0,1.343,0.872,1.525,0.579
3,1,1,1,34,34,1,0,0,2,3,1,0.5,1.152,2.59,0.929,0.564
3,1,1,1,35,35,2,1,0,2,3,1,1.0,1.471,1.055,0.638,0.647
3,1,1,1,36,36,4,0,0,2,3,1,0.0,1.01,1.302,0.445,0.54
3,1,1,2,37,37,2,1,0,4,4,2,0.0,1.213,1.109,1.295,1.254
3,1,1,2,38,38,1,0,0,1,2,1,1.0,1.185,1.143,1.191,0.642
3,1,1,2,39,39,1,0,0,4,4,1,0.0,1.378,3.316,1.576,1.706
3,1,1,2,40,40,1,0,0,2,3,1,0.5,1.393,3.189,1.453,1.847
3,1,1,2,41,41,2,1,0,2,3,1,1.0,1.086,2.968,5.072,0.644
3,1,1,2,42,42,2,0,0,1,2,1,0.5,1.239,1.326,1.021,1.379
3,1,1,2,43,43,3,0,0,4,4,1,0.5,1.217,2.877,0.919,1.514
3,1,1,2,44,44,3,1,0,1,2,1,0.0,1.318,0.569,0.901,1.865
