iSub,type,iTrial,body_ori,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle,category
1,adjust_init,1,-1,0.0,0.166666666666667,0.0,0.5,0.5,0.5,0.5,0.5,1.0
1,adjust_init,2,-1,0.333333333333333,0.0,0.666666666666667,0.166666666666667,0.5,0.5,0.5,0.5,1.0
1,adjust_init,3,1,0.333333333333333,0.833333333333333,0.666666666666667,1.0,0.5,0.5,0.5,0.5,2.0
1,adjust_init,4,1,1.0,0.5,0.333333333333333,0.666666666666667,0.5,0.5,0.5,0.5,2.0
1,adjust_init,5,-1,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.5,0.5,0.5,0.5,2.0
1,adjust_init,6,1,0.166666666666667,1.0,0.166666666666667,1.0,0.5,0.5,0.5,0.5,1.0
1,adjust_init,7,-1,0.166666666666667,0.333333333333333,0.833333333333333,0.833333333333333,0.5,0.5,0.5,0.5,2.0
1,adjust_init,8,1,1.0,0.0,1.0,0.833333333333333,0.5,0.5,0.5,0.5,2.0
1,adjust_init,9,1,0.833333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.5,1.0
1,adjust_init,10,1,0.5,0.166666666666667,0.0,0.166666666666667,0.5,0.5,0.5,0.5,2.0
1,adjust_init,11,-1,0.666666666666667,0.666666666666667,0.5,0.0,0.5,0.5,0.5,0.5,1.0
1,adjust_init,12,-1,0.0,0.5,0.166666666666667,0.333333333333333,0.5,0.5,0.5,0.5,2.0
1,adjust_init,13,-1,0.666666666666667,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0
1,adjust_init,14,1,0.5,0.666666666666667,0.5,0.0,0.5,0.5,0.5,0.5,1.0
1,adjust_after,1,-1,0.0,0.16666666666667,0.02423041849152,0.5,0.5,0.5,0.50000014336914,0.5,
1,adjust_after,2,-1,0.33333333333333,0.0,0.10760455706097,0.16666666666667,0.5,0.5,0.50000153198796,0.5,
1,adjust_after,3,1,0.33333333333333,0.83333333333333,0.66666666666667,1.0,0.5,0.5,0.5,0.5,
1,adjust_after,4,1,1.0,0.5,0.33333333333333,0.66666666666667,0.5,0.5,0.5,0.5,
1,adjust_after,5,-1,0.83333333333333,0.83333333333333,0.83333333333333,0.66666666666667,0.5,0.5,0.5,0.5,
1,adjust_after,6,1,0.16666666666667,1.0,0.16666666666667,1.0,0.5,0.5,0.5,0.5,
1,adjust_after,7,-1,0.16666666666667,0.33333333333333,0.83333333333333,0.83333333333333,0.5,0.5,0.5,0.5,
1,adjust_after,8,1,1.0,0.0,1.0,0.83333333333333,0.5,0.5,0.5,0.5,
1,adjust_after,9,1,0.83333333333333,0.33333333333333,0.33333333333333,0.33333333333333,0.5,0.5,0.5,0.5,
1,adjust_after,10,1,0.5,0.16666666666667,0.0,0.16666666666667,0.5,0.5,0.5,0.5,
1,adjust_after,11,-1,0.66666666666667,0.66666666666667,0.5,0.0,0.5,0.5,0.5,0.5,
1,adjust_after,12,-1,0.0,0.5,0.16666666666667,0.33333333333333,0.5,0.5,0.5,0.5,
1,adjust_after,13,-1,0.66666666666667,1.0,1.0,0.5,0.5,0.5,0.5,0.5,
1,adjust_after,14,1,0.5,0.66666666666667,0.5,0.0,0.5,0.5,0.5,0.5,
2,adjust_init,1,1,0.833333333333333,0.166666666666667,0.333333333333333,0.833333333333333,0.5,0.5,0.5,0.5,4.0
2,adjust_init,2,1,0.666666666666667,0.666666666666667,0.166666666666667,0.833333333333333,0.5,0.5,0.5,0.5,3.0
2,adjust_init,3,-1,0.166666666666667,0.5,0.0,0.166666666666667,0.5,0.5,0.5,0.5,3.0
2,adjust_init,4,1,0.833333333333333,0.666666666666667,0.0,0.5,0.5,0.5,0.5,0.5,3.0
2,adjust_init,5,-1,0.166666666666667,0.5,0.166666666666667,0.333333333333333,0.5,0.5,0.5,0.5,2.0
2,adjust_init,6,1,0.666666666666667,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0
2,adjust_init,7,-1,0.833333333333333,0.166666666666667,0.0,0.666666666666667,0.5,0.5,0.5,0.5,2.0
2,adjust_init,8,-1,0.166666666666667,0.0,0.166666666666667,0.666666666666667,0.5,0.5,0.5,0.5,4.0
2,adjust_init,9,-1,0.333333333333333,0.333333333333333,0.833333333333333,0.0,0.5,0.5,0.5,0.5,1.0
2,adjust_init,10,-1,0.666666666666667,0.833333333333333,1.0,0.333333333333333,0.5,0.5,0.5,0.5,4.0
2,adjust_init,11,-1,1.0,0.166666666666667,1.0,0.666666666666667,0.5,0.5,0.5,0.5,4.0
2,adjust_init,12,-1,0.333333333333333,0.833333333333333,0.666666666666667,0.166666666666667,0.5,0.5,0.5,0.5,2.0
2,adjust_init,13,-1,0.5,0.166666666666667,1.0,0.166666666666667,0.5,0.5,0.5,0.5,1.0
2,adjust_init,14,-1,0.0,0.5,0.166666666666667,0.5,0.5,0.5,0.5,0.5,3.0
2,adjust_init,15,1,1.0,1.0,0.333333333333333,1.0,0.5,0.5,0.5,0.5,4.0
2,adjust_init,16,-1,0.0,0.333333333333333,0.833333333333333,0.5,0.5,0.5,0.5,0.5,4.0
2,adjust_init,17,1,0.0,0.666666666666667,0.333333333333333,0.833333333333333,0.5,0.5,0.5,0.5,3.0
2,adjust_init,18,1,0.666666666666667,1.0,0.5,1.0,0.5,0.5,0.5,0.5,4.0
2,adjust_init,19,-1,0.166666666666667,0.666666666666667,0.5,0.333333333333333,0.5,0.5,0.5,0.5,2.0
2,adjust_init,20,1,0.333333333333333,0.333333333333333,0.666666666666667,0.166666666666667,0.5,0.5,0.5,0.5,2.0
2,adjust_init,21,-1,1.0,0.0,1.0,0.666666666666667,0.5,0.5,0.5,0.5,1.0
2,adjust_init,22,-1,1.0,0.833333333333333,0.5,0.5,0.5,0.5,0.5,0.5,1.0
2,adjust_init,23,1,0.5,0.0,0.333333333333333,1.0,0.5,0.5,0.5,0.5,1.0
2,adjust_init,24,-1,0.5,1.0,0.5,0.0,0.5,0.5,0.5,0.5,3.0
2,adjust_init,25,1,0.5,0.5,0.833333333333333,0.333333333333333,0.5,0.5,0.5,0.5,1.0
2,adjust_init,26,-1,0.833333333333333,0.833333333333333,0.666666666666667,1.0,0.5,0.5,0.5,0.5,3.0
2,adjust_init,27,1,0.0,0.0,0.833333333333333,0.833333333333333,0.5,0.5,0.5,0.5,2.0
2,adjust_init,28,1,0.333333333333333,0.333333333333333,0.666666666666667,0.0,0.5,0.5,0.5,0.5,2.0
2,adjust_after,1,1,0.83333333333333,0.99999623657781,0.33333333333333,0.83333333333333,0.5,0.49999939804288,0.5,0.5,
2,adjust_after,2,1,0.66666666666667,0.99999802625138,8.3502819e-07,0.83333333333333,0.5,0.50000313241777,0.49998072544152,0.5,
2,adjust_after,3,-1,0.16666666666667,1.00000236467313,0.0,0.16666666666667,0.5,0.50000121889018,0.5,0.5,
2,adjust_after,4,1,0.83333333333333,0.99999623657781,0.0,0.5,0.5,0.49999939804288,0.5,0.5,
2,adjust_after,5,-1,0.99999914653225,1.16165411e-06,0.16666666666667,0.33333333333333,0.49999962356656,0.49999743819999,0.5,0.5,
2,adjust_after,6,1,1.16165411e-06,4.138295e-08,0.0,0.0,0.50000256180001,0.50001121808439,0.5,0.5,
2,adjust_after,7,-1,0.99999914653225,1.16165411e-06,0.0,0.66666666666667,0.49999962356656,0.49999743819999,0.5,0.5,
2,adjust_after,8,-1,0.16666666666667,1.00000236467313,0.9999989132303,0.66666666666667,0.5,0.50000121889018,0.50000281375752,0.5,
2,adjust_after,9,-1,1.16165411e-06,1.16165411e-06,0.83333333333333,0.0,0.50000256180001,0.49999743819999,0.5,0.5,
2,adjust_after,10,-1,0.66666666666667,0.99999802625138,0.9999989132303,0.33333333333333,0.5,0.50000313241777,0.50000281375752,0.5,
