subID,condition,level,iTrial,orien,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
317,4,4,1,1,1.000,1.028,0.028,0.750,0.778,0.028,1,2,0,0.689,0.033,0.030
317,4,4,2,-1,1.000,1.031,0.031,0.750,0.781,0.031,1,1,1,1.276,0.032,0.030
317,4,4,3,-1,1.000,0.970,-0.030,0.750,0.720,-0.030,2,2,1,1.943,0.031,0.030
317,4,4,4,1,1.000,0.972,-0.028,0.750,0.722,-0.028,1,2,0,1.342,0.034,0.029
317,4,4,5,1,1.000,0.968,-0.032,0.750,0.718,-0.032,2,2,1,1.296,0.032,0.029
317,4,4,6,1,1.000,0.970,-0.030,0.750,0.720,-0.030,2,2,1,3.052,0.031,0.029
317,4,4,7,-1,1.000,0.971,-0.029,0.750,0.721,-0.029,1,1,1,1.514,0.030,0.029
317,4,4,8,1,1.000,0.973,-0.027,0.750,0.723,-0.027,2,2,1,1.376,0.028,0.029
317,4,4,9,-1,1.000,0.974,-0.026,0.750,0.724,-0.026,1,2,0,3.151,0.032,0.029
317,4,4,10,-1,1.000,1.029,0.029,0.750,0.779,0.029,1,1,1,1.284,0.030,0.029
317,4,4,11,1,1.000,0.972,-0.028,0.750,0.722,-0.028,1,1,1,3.760,0.029,0.029
317,4,4,12,-1,1.000,0.973,-0.027,0.750,0.723,-0.027,1,1,1,2.587,0.028,0.029
317,4,4,13,-1,1.000,1.025,0.025,0.750,0.775,0.025,2,2,1,2.047,0.026,0.029
317,4,4,14,1,1.000,0.976,-0.024,0.750,0.726,-0.024,1,2,0,1.418,0.029,0.029
317,4,4,15,1,1.000,0.973,-0.027,0.750,0.723,-0.027,1,1,1,1.072,0.028,0.029
317,4,4,16,1,1.000,0.974,-0.026,0.750,0.724,-0.026,2,2,1,2.461,0.027,0.029
317,4,4,17,1,1.000,1.024,0.024,0.750,0.774,0.024,1,1,1,1.204,0.025,0.029
317,4,4,18,-1,1.000,0.977,-0.023,0.750,0.727,-0.023,2,2,1,3.132,0.024,0.029
317,4,4,19,1,1.000,1.022,0.022,0.750,0.772,0.022,1,2,0,4.235,0.027,0.029
317,4,4,20,1,1.000,1.025,0.025,0.750,0.775,0.025,2,1,0,2.057,0.030,0.029
317,4,4,21,1,1.000,0.973,-0.027,0.750,0.723,-0.027,2,2,1,1.840,0.029,0.029
317,4,4,22,-1,1.000,0.974,-0.026,0.750,0.724,-0.026,1,2,0,2.087,0.032,0.028
317,4,4,23,1,1.000,1.029,0.029,0.750,0.779,0.029,1,1,1,0.845,0.030,0.028
317,4,4,24,-1,1.000,1.028,0.028,0.750,0.778,0.028,1,1,1,1.512,0.029,0.028
317,4,4,25,-1,1.000,0.973,-0.027,0.750,0.723,-0.027,1,1,1,1.384,0.028,0.028
317,4,4,26,-1,1.000,0.975,-0.025,0.750,0.725,-0.025,2,1,0,2.031,0.031,0.028
317,4,4,27,1,1.000,1.028,0.028,0.750,0.778,0.028,2,2,1,1.430,0.030,0.028
317,4,4,28,-1,1.000,0.973,-0.027,0.750,0.723,-0.027,1,1,1,1.927,0.028,0.028
317,4,4,29,1,1.000,1.026,0.026,0.750,0.776,0.026,1,1,1,1.869,0.027,0.028
317,4,4,30,1,1.000,0.975,-0.025,0.750,0.725,-0.025,2,2,1,3.105,0.026,0.028
317,4,3,1,1,0.750,0.722,-0.028,0.500,0.472,-0.028,2,2,1,2.020,0.029,0.030
317,4,3,2,-1,0.750,0.776,0.026,0.500,0.526,0.026,2,2,1,1.523,0.027,0.030
317,4,3,3,-1,0.750,0.775,0.025,0.500,0.525,0.025,1,1,1,0.611,0.026,0.030
317,4,3,4,-1,0.750,0.774,0.024,0.500,0.524,0.024,2,1,0,3.175,0.029,0.030
317,4,3,5,-1,0.750,0.777,0.027,0.500,0.527,0.027,1,1,1,1.471,0.028,0.030
317,4,3,6,-1,0.750,0.725,-0.025,0.500,0.475,-0.025,1,1,1,2.762,0.026,0.030
317,4,3,7,1,0.750,0.774,0.024,0.500,0.524,0.024,1,1,1,2.705,0.025,0.030
317,4,3,8,-1,0.750,0.773,0.023,0.500,0.523,0.023,2,2,1,1.291,0.023,0.030
317,4,3,9,1,0.750,0.771,0.021,0.500,0.521,0.021,1,1,1,0.864,0.022,0.030
317,4,3,10,-1,0.750,0.770,0.020,0.500,0.520,0.020,2,1,0,2.171,0.025,0.030
317,4,3,11,-1,0.750,0.773,0.023,0.500,0.523,0.023,1,1,1,1.586,0.024,0.030
317,4,3,12,-1,0.750,0.728,-0.022,0.500,0.478,-0.022,2,2,1,2.641,0.023,0.030
317,4,3,13,1,0.750,0.770,0.020,0.500,0.520,0.020,1,1,1,0.738,0.021,0.030
317,4,3,14,1,0.750,0.731,-0.019,0.500,0.481,-0.019,2,1,0,1.039,0.024,0.029
317,4,3,15,1,0.750,0.728,-0.022,0.500,0.478,-0.022,1,1,1,1.037,0.023,0.029
317,4,3,16,1,0.750,0.771,0.021,0.500,0.521,0.021,2,2,1,1.164,0.022,0.029
317,4,3,17,-1,0.750,0.731,-0.019,0.500,0.481,-0.019,1,1,1,1.040,0.020,0.029
317,4,3,18,1,0.750,0.732,-0.018,0.500,0.482,-0.018,2,2,1,2.197,0.019,0.029
317,4,3,19,1,0.750,0.767,0.017,0.500,0.517,0.017,1,1,1,0.672,0.018,0.029
317,4,3,20,-1,0.750,0.735,-0.015,0.500,0.485,-0.015,2,2,1,1.431,0.016,0.029
317,4,3,21,-1,0.750,0.736,-0.014,0.500,0.486,-0.014,2,2,1,2.356,0.015,0.029
317,4,3,22,-1,0.750,0.737,-0.013,0.500,0.487,-0.013,2,2,1,3.565,0.014,0.029
317,4,3,23,-1,0.750,0.761,0.011,0.500,0.511,0.011,1,1,1,0.587,0.012,0.029
317,4,3,24,-1,0.750,0.760,0.010,0.500,0.510,0.010,1,1,1,0.670,0.011,0.029
317,4,3,25,-1,0.750,0.741,-0.009,0.500,0.491,-0.009,1,1,1,0.475,0.010,0.029
317,4,3,26,1,0.750,0.743,-0.007,0.500,0.493,-0.007,2,1,0,1.927,0.013,0.029
317,4,3,27,-1,0.750,0.740,-0.010,0.500,0.490,-0.010,2,2,1,0.796,0.011,0.029
317,4,3,28,1,0.750,0.741,-0.009,0.500,0.491,-0.009,1,1,1,0.712,0.010,0.029
317,4,3,29,-1,0.750,0.742,-0.008,0.500,0.492,-0.008,1,1,1,0.571,0.009,0.029
317,4,3,30,1,0.750,0.756,0.006,0.500,0.506,0.006,1,1,1,0.803,0.008,0.029
317,4,2,1,-1,0.500,0.528,0.028,0.250,0.278,0.028,2,2,1,1.471,0.029,0.030
317,4,2,2,-1,0.500,0.474,-0.026,0.250,0.224,-0.026,2,1,0,1.504,0.032,0.030
317,4,2,3,1,0.500,0.470,-0.030,0.250,0.220,-0.030,2,2,1,0.670,0.031,0.030
317,4,2,4,-1,0.500,0.472,-0.028,0.250,0.222,-0.028,1,1,1,0.417,0.029,0.030
317,4,2,5,1,0.500,0.527,0.027,0.250,0.277,0.027,1,1,1,2.290,0.028,0.030
317,4,2,6,1,0.500,0.526,0.026,0.250,0.276,0.026,2,1,0,1.577,0.031,0.029
317,4,2,7,-1,0.500,0.529,0.029,0.250,0.279,0.029,2,2,1,1.238,0.030,0.029
317,4,2,8,1,0.500,0.473,-0.027,0.250,0.223,-0.027,2,2,1,1.771,0.028,0.029
317,4,2,9,-1,0.500,0.474,-0.026,0.250,0.224,-0.026,2,1,0,1.260,0.032,0.029
317,4,2,10,-1,0.500,0.529,0.029,0.250,0.279,0.029,2,2,1,1.202,0.030,0.029
317,4,2,11,-1,0.500,0.472,-0.028,0.250,0.222,-0.028,1,1,1,0.627,0.029,0.029
317,4,2,12,-1,0.500,0.473,-0.027,0.250,0.223,-0.027,1,1,1,0.484,0.028,0.029
317,4,2,13,1,0.500,0.475,-0.025,0.250,0.225,-0.025,1,1,1,0.622,0.026,0.029
317,4,2,14,-1,0.500,0.476,-0.024,0.250,0.226,-0.024,1,1,1,0.522,0.025,0.029
317,4,2,15,1,0.500,0.523,0.023,0.250,0.273,0.023,1,1,1,0.478,0.024,0.029
317,4,2,16,-1,0.500,0.521,0.021,0.250,0.271,0.021,1,1,1,0.620,0.022,0.029
317,4,2,17,-1,0.500,0.520,0.020,0.250,0.270,0.020,1,1,1,1.027,0.021,0.029
317,4,2,18,-1,0.500,0.518,0.018,0.250,0.268,0.018,2,2,1,0.697,0.020,0.029
317,4,2,19,-1,0.500,0.483,-0.017,0.250,0.233,-0.017,2,2,1,2.457,0.018,0.029
317,4,2,20,-1,0.500,0.516,0.016,0.250,0.266,0.016,2,2,1,1.378,0.017,0.029
317,4,2,21,1,0.500,0.514,0.014,0.250,0.264,0.014,2,2,1,0.710,0.016,0.029
317,4,2,22,-1,0.500,0.487,-0.013,0.250,0.237,-0.013,1,1,1,0.357,0.014,0.029
317,4,2,23,-1,0.500,0.488,-0.012,0.250,0.238,-0.012,2,1,0,0.747,0.017,0.029
317,4,2,24,-1,0.500,0.485,-0.015,0.250,0.235,-0.015,1,1,1,0.615,0.016,0.029
317,4,2,25,-1,0.500,0.514,0.014,0.250,0.264,0.014,2,1,0,1.928,0.019,0.029
317,4,2,26,1,0.500,0.484,-0.016,0.250,0.234,-0.016,1,1,1,0.533,0.018,0.029
317,4,2,27,-1,0.500,0.485,-0.015,0.250,0.235,-0.015,1,1,1,0.656,0.016,0.029
317,4,2,28,-1,0.500,0.514,0.014,0.250,0.264,0.014,1,1,1,1.943,0.015,0.029
317,4,2,29,1,0.500,0.487,-0.013,0.250,0.237,-0.013,2,1,0,1.252,0.018,0.029
317,4,2,30,1,0.500,0.516,0.016,0.250,0.266,0.016,2,2,1,0.642,0.017,0.029
317,4,5,1,1,1.250,1.222,-0.028,1.000,0.972,-0.028,2,1,0,2.311,0.033,0.030
317,4,5,2,1,1.250,1.219,-0.031,1.000,0.969,-0.031,1,2,0,2.316,0.036,0.029
317,4,5,3,1,1.250,1.216,-0.034,1.000,0.966,-0.034,2,2,1,2.918,0.035,0.029
317,4,5,4,-1,1.250,1.217,-0.033,1.000,0.967,-0.033,2,2,1,0.607,0.034,0.029
317,4,5,5,1,1.250,1.218,-0.032,1.000,0.968,-0.032,2,2,1,0.739,0.032,0.029
317,4,5,6,1,1.250,1.220,-0.030,1.000,0.970,-0.030,2,2,1,1.299,0.031,0.029
317,4,5,7,-1,1.250,1.221,-0.029,1.000,0.971,-0.029,1,1,1,0.850,0.030,0.029
317,4,5,8,1,1.250,1.223,-0.027,1.000,0.973,-0.027,2,1,0,1.337,0.033,0.029
317,4,5,9,1,1.250,1.219,-0.031,1.000,0.969,-0.031,2,2,1,0.633,0.032,0.029
317,4,5,10,-1,1.250,1.221,-0.029,1.000,0.971,-0.029,1,1,1,0.417,0.030,0.029
317,4,5,11,-1,1.250,1.222,-0.028,1.000,0.972,-0.028,2,2,1,0.893,0.029,0.029
317,4,5,12,1,1.250,1.223,-0.027,1.000,0.973,-0.027,1,1,1,1.868,0.028,0.029
317,4,5,13,1,1.250,1.225,-0.025,1.000,0.975,-0.025,2,2,1,0.388,0.026,0.029
317,4,5,14,-1,1.250,1.226,-0.024,1.000,0.976,-0.024,1,2,0,1.375,0.029,0.029
317,4,5,15,-1,1.250,1.223,-0.027,1.000,0.973,-0.027,1,1,1,1.468,0.028,0.029
317,4,5,16,1,1.250,1.224,-0.026,1.000,0.974,-0.026,1,2,0,1.276,0.031,0.029
317,4,5,17,-1,1.250,1.221,-0.029,1.000,0.971,-0.029,1,1,1,0.289,0.030,0.029
317,4,5,18,-1,1.250,1.223,-0.027,1.000,0.973,-0.027,2,2,1,0.429,0.028,0.029
317,4,5,19,-1,1.250,1.224,-0.026,1.000,0.974,-0.026,2,2,1,0.822,0.027,0.029
317,4,5,20,-1,1.250,1.225,-0.025,1.000,0.975,-0.025,1,2,0,3.088,0.030,0.029
317,4,5,21,1,1.250,1.222,-0.028,1.000,0.972,-0.028,2,2,1,0.712,0.029,0.029
317,4,5,22,-1,1.250,1.224,-0.026,1.000,0.974,-0.026,1,2,0,1.124,0.032,0.028
317,4,5,23,-1,1.250,1.221,-0.029,1.000,0.971,-0.029,2,2,1,0.485,0.031,0.028
317,4,5,24,1,1.250,1.222,-0.028,1.000,0.972,-0.028,1,1,1,0.641,0.029,0.028
317,4,5,25,-1,1.250,1.223,-0.027,1.000,0.973,-0.027,2,2,1,0.466,0.028,0.028
317,4,5,26,1,1.250,1.224,-0.026,1.000,0.974,-0.026,1,1,1,1.340,0.027,0.028
317,4,5,27,1,1.250,1.226,-0.024,1.000,0.976,-0.024,1,2,0,1.896,0.030,0.028
317,4,5,28,-1,1.250,1.223,-0.027,1.000,0.973,-0.027,1,1,1,2.874,0.028,0.028
317,4,5,29,-1,1.250,1.224,-0.026,1.000,0.974,-0.026,1,2,0,0.413,0.031,0.028
317,4,5,30,1,1.250,1.221,-0.029,1.000,0.971,-0.029,1,1,1,1.684,0.030,0.028
317,4,1,1,1,0.250,0.278,0.028,0.000,0.028,0.028,2,2,1,1.260,0.029,0.030
317,4,1,2,1,0.250,0.276,0.026,0.000,0.026,0.026,1,2,0,1.695,0.032,0.030
