iSession,iTrial,text
1,1,头比较长。
1,2,腿短。
1,3,四个部位都比较长。
1,4,头长，脖子长，腿长，尾巴短。
1,5,腿长，脖子长，尾巴短。
1,6,尾巴长，脖子长，头长，腿短。
1,7,腿长，尾巴长。
1,8,腿长，尾巴长。
1,9,尾巴长，腿短。
1,10,尾巴短，腿长。
1,11,头长，尾巴长。
1,12,尾巴比腿长。
1,13,脖子长，尾巴长。
1,14,脖子长，腿短。
1,15,腿长，尾巴短。
1,16,尾巴比脖子长，头比腿长。
1,17,腿比头长。
1,18,尾巴短。
1,19,脖子长，腿短。
1,20,尾巴比腿长。
1,21,尾巴和腿差不多长。
1,22,脖子长，尾巴短。
1,23,脖子长，尾巴短。
1,24,头长，尾巴长。
1,25,头长，尾巴长。
1,26,脖子长，尾巴长。
1,27,腿长，头长，脖子长，尾巴短。
1,28,脖子长，头长，尾巴短。
1,29,尾巴短。
1,30,尾巴长。
1,31,腿短，尾巴长。
1,32,脖子长，尾巴长。
1,33,尾巴长，脖子长。
1,34,脖子长。
1,35,头长。
1,36,头长，腿长。
1,37,头长，尾巴长，腿短。
1,38,头长，脖子长。
1,39,脖子短，腿长。
1,40,腿短，脖子长，头长。
1,41,脖子短，头长。
1,42,头长，脖子长。
1,43,头长，脖子短。
1,44,头长，脖子长。
1,45,头长，脖子长。
1,46,脖子长。
1,47,脖子长。
1,48,脖子较短。
1,49,脖子较短。
1,50,脖子较长。
1,51,脖子较长。
1,52,脖子较长。
1,53,脖子较长。
1,54,脖子比躯干长。
1,55,脖子较短。
1,56,脖子短。
1,57,脖子短。
1,58,脖子短。
1,59,脖子长。
1,60,脖子长。
1,61,脖子长。
1,62,脖子较短。
1,63,脖子短。
1,64,脖子短。
1,65,脖子长。
1,66,脖子短。
1,67,脖子短。
1,68,脖子较长。
1,69,脖子较长。
1,70,脖子较短。
1,71,脖子较长。
1,72,脖子长。
1,73,脖子较长。
1,74,脖子长。
1,75,脖子较短。
1,76,脖子长。
1,77,脖子长。
1,78,脖子长。
1,79,脖子长，脖子比头长。
1,80,脖子比躯干长。
1,81,脖子较长。
1,82,脖子较长。
1,83,脖子较长。
1,84,脖子较长。
1,85,脖子短。
1,86,脖子长。
1,87,脖子较长。
1,88,脖子长。
1,89,脖子短，头长。
1,90,脖子短。
1,91,脖子短，头很长。
1,92,脖子较短。
1,93,脖子长。
1,94,脖子短。
1,95,脖子短。
1,96,脖子短。
1,97,脖子较长。
1,98,脖子长。
1,99,脖子较短。
1,100,脖子较长，头也较长。
1,101,脖子短。
1,102,头很长。
1,103,脖子长，头长。
1,104,脖子较短，头比脖子短。
1,105,脖子较短，尾巴较短。
1,106,脖子较短，尾巴较短。
1,107,头很长，脖子很短。
1,108,脖子长，头短。
1,109,脖子短，头很长。
1,110,脖子很长，头比较短。
1,111,脖子短，头长。
1,112,头很长，脖子较短。
1,113,头比脖子短，脖子比较长。
1,114,脖子较短。
1,115,脖子很长。
1,116,脖子较短，头很长。
1,117,脖子较长，头很短。
1,118,脖子很长。
1,119,脖子较短。
1,120,头、脖子、尾巴都很长。
1,121,脖子较短，头较长。
1,122,头很长，脖子较短。
1,123,脖子很长，头很短。
1,124,脖子短，头很长。
1,125,脖子短，头很长。
1,126,脖子较长。
1,127,脖子很长。
1,128,脖子很长。
1,129,脖子较短，头比脖子长。
1,130,脖子很长。
1,131,脖子很长。
1,132,腿长，脖子长。
1,133,脖子较短，头很长。
1,134,脖子较短，尾巴长。
1,135,脖子长。
1,136,脖子很长。
1,137,脖子很长。
1,138,脖子很短，头很长。
1,139,脖子较短，头比较长。
1,140,脖子较长，头较长。
1,141,脖子较长。
1,142,脖子很短。
1,143,脖子很长。
1,144,脖子较短，头也较长。
1,145,脖子很短，头很长。
1,146,脖子较短，头比脖子长。
1,147,脖子很长。
1,148,脖子很长。
1,149,脖子很长。
1,150,脖子很短。
1,151,脖子较长，头比脖子长。
1,152,脖子很长。
1,153,脖子较短，头很长。
1,154,脖子短，头很长。
1,155,脖子较长，头稍微短一点。
1,156,脖子很长。
1,157,脖子短，头长。
1,158,脖子短，头很长。
1,159,脖子长，头较短。
1,160,脖子短，头较长。
1,161,脖子很长。
1,162,脖子很长。
1,163,脖子较长。
1,164,脖子较短。
1,165,脖子较长。
1,166,脖子较短。
1,167,脖子很长。
1,168,脖子较短。
1,169,脖子较短。
1,170,脖子较短，头很长。
1,171,脖子较长。
1,172,脖子较长，尾巴、头较长。
1,173,脖子较长。
1,174,脖子短，头长。
1,175,脖子短，头长。
1,176,脖子较短，头很短。
1,177,脖子很短。
1,178,脖子很短。
1,179,脖子较长，头比脖子长。
1,180,脖子很长。
1,181,脖子很长。
1,182,脖子较短，头很短。
1,183,脖子长。
1,184,脖子很短。
1,185,脖子很长。
1,186,脖子很长。
1,187,脖子很长。
1,188,脖子长。
1,189,脖子较长。
1,190,脖子较长。
1,191,脖子较长，头很长。
1,192,脖子很长。
1,193,脖子很长。
1,194,脖子很短。
1,195,脖子较短。
1,196,脖子较短，头很长。
1,197,脖子短，头长。
1,198,脖子短，头长。
1,199,头很长，脖子也很长。
1,200,脖子较长，头也很长。
1,201,脖子很长。
1,202,脖子很长。
1,203,脖子较长。
1,204,脖子很长。
1,205,头长，脖子短。
1,206,头短，脖子长。
1,207,尾巴短，头长，脖子长。
1,208,尾巴长，头短，脖子短。
1,209,脖子很长。
1,210,脖子较长。
1,211,脖子短。
1,212,脖子短。
1,213,脖子较长，头比脖子长。
1,214,脖子长，头短。
1,215,脖子短。
1,216,脖子长。
1,217,脖子和头差不多长。
1,218,脖子短。
1,219,脖子。
1,220,脖子很短。
1,221,脖子很长。
1,222,脖子很短。
1,223,脖子很长。
1,224,脖子很长。
1,225,脖子较短。
1,226,脖子很长。
1,227,脖子较短。
1,228,脖子很短。
1,229,脖子长。
1,230,脖子很短。
1,231,头、脖子、尾巴、腿一样长，四个部位长度比较均匀。
1,232,脖子较短，尾巴比较短。
1,233,脖子较短。
1,234,脖子很长。
1,235,脖子很长。
1,236,脖子较长。
1,237,脖子较短。
1,238,脖子较短。
1,239,脖子较长。
1,240,脖子很短。
1,241,脖子很短。
1,242,脖子较长，腿也比较长。
1,243,脖子较长，头比脖子长，腿比较短。
1,244,脖子很短。
1,245,脖子较短。
1,246,头长，脖子较短。
1,247,脖子较短，头很长。
1,248,脖子很长，头较短。
1,249,尾巴较长。
1,250,头很长。
1,251,脖子很长。
1,252,脖子较短，头比较长。
1,253,脖子很长。
1,254,脖子很短。
1,255,脖子短，尾巴长。
1,256,脖子长。
1,257,脖子很短。
1,258,脖子很短。
1,259,脖子很长。
1,260,脖子较短。
1,261,脖子较短。
1,262,脖子较短，头较短。
1,263,脖子很短。
1,264,脖子较长。
1,265,脖子较短。
1,266,头、脖子较短，尾巴较长。
1,267,脖子很长。
1,268,脖子较短，头很长。
1,269,脖子很长。
1,270,脖子较短，头很长。
1,271,脖子较短，尾巴很长。
1,272,脖子很长。
1,273,脖子很长。
1,274,脖子很长。
1,275,脖子很长。
1,276,头、脖子较短。
1,277,脖子很长。
1,278,脖子较短。
1,279,脖子较短，腿长，尾巴长。
1,280,脖子较长。
1,281,头很长，脖子很长。
1,282,头很长，脖子很长。
1,283,脖子较短。
1,284,脖子较短。
1,285,脖子很长。
1,286,脖子较长，头很长。
1,287,脖子较短。
1,288,脖子较短。
1,289,脖子较短。
1,290,脖子很短。
1,291,脖子较长。
1,292,脖子较短。
1,293,脖子很短。
1,294,脖子较短。
1,295,脖子较短。
1,296,脖子较短，头较长，尾巴较长。
1,297,脖子很长。
1,298,脖子较短。
1,299,脖子较长。
1,300,脖子很长。
1,301,脖子较短，尾巴很长。
1,302,脖子较短。
1,303,脖子较短，尾巴很长。
1,304,脖子较短，尾巴很短。
1,305,脖子很短。
1,306,脖子很长。
1,307,脖子很长。
1,308,脖子较短，头较长。
1,309,脖子很长。
1,310,脖子很长。
1,311,脖子很长。
1,312,脖子较长。
1,313,脖子较长。
1,314,脖子很长。
1,315,脖子很长。
1,316,脖子很长。
1,317,脖子很长。
1,318,脖子短。
1,319,脖子较短。
1,320,脖子较长。
