iSub,iSession,iTrial,text
16,1,1,头和脖子长度之和小于腿和尾巴长度之和。
16,1,2,头加脖子大于腿加尾巴。
16,1,3,头加脖子大于腿加尾巴。
16,1,4,头加脖子小于腿加尾巴。
16,1,5,头加脖子小于腿加尾巴。
16,1,6,脖子比头长。
16,1,7,头最长。
16,1,8,头和脖子都比腿短。
16,1,9,头比尾巴短，脖子比腿短。
16,1,10,脖子比腿长。
16,1,11,腿大于二分之一。
16,1,12,腿大于二分之一。
16,1,13,腿小于二分之一。
16,1,14,腿小于二分之一。
16,1,15,四个部位中有三个长度超过了一半。
16,1,16,四个部位中有两个超过了一半。
16,1,17,四个部位的长度都超过了一半。
16,1,18,四个部位中有两个超过了一半。
16,1,19,四个部位中有三个的长度超过了一半。
16,1,20,比例看起来不是很协调。
16,1,21,头加脖子加尾巴的长度大于四条腿的长度之和。
16,1,22,
16,1,23,头加脖子加尾巴的长度大于四条腿的长度之和。
16,1,24,
16,1,25,头加脖子加尾巴的长度小于四条腿的长度之和。
16,1,26,
16,1,27,
16,1,28,四个部位差不多长。
16,1,29,头身比例不协调。
16,1,30,头身比例比较协调。
16,1,31,头身比例比较协调。
16,1,32,头身比例比较协调。
16,1,33,头身比例比较协调。
16,1,34,头身比例不协调。
16,1,35,头身比例不协调。
16,1,36,头身比例比较协调。
16,1,37,头身比例不协调。
16,1,38,
16,1,39,四个部位都比较短。
16,1,40,腿长，脖子、头、尾巴短。
16,1,41,腿短，脖子、头、尾巴长。
16,1,42,四条腿之和比其他三个部位之和短。
16,1,43,四条腿之和比其他三个部位之和长。
16,1,44,四条腿之和比其他三个部位之和短。
16,1,45,四条腿之和比其他三个部位之和长。
16,1,46,四条腿之和比其他三个部位之和长。
16,1,47,四条腿之和比其他三个部位之和短。
16,1,48,四条腿之和比其他三个部位之和短。
16,1,49,四条腿之和比其他三个部位之和长。
16,1,50,四条腿之和比其他三个部位之和长。
16,1,51,四条腿之和比其他三个部位之和长。
16,1,52,四条腿之和比其他三个部位之和长。
16,1,53,四条腿之和比其他三个部位之和短。
16,1,54,四条腿之和比其他三个部位之和长。
16,1,55,四条腿之和比其他三个部位之和长。
16,1,56,四条腿之和比其他三个部位之和短。
16,1,57,四条腿之和比其他三个部位之和长。
16,1,58,四条腿之和比其他三个部位之和长。
16,1,59,腿最长。
16,1,60,四条腿之和比其他三个部位之和短。
16,1,61,四条腿之和比其他三个部位之和短。
16,1,62,四条腿之和比其他三个部位之和短。
16,1,63,四条腿之和比其他三个部位之和长。
16,1,64,四条腿之和比其他三个部位之和短。
16,1,65,四条腿之和比其他三个部位之和短。
16,1,66,四条腿之和比其他三个部位之和长。
16,1,67,四条腿之和比其他三个部位之和长。
16,1,68,四条腿之和比其他三个部位之和短。
16,1,69,四条腿之和比其他三个部位之和长。
16,1,70,四条腿之和比其他三个部位之和短。
16,1,71,
16,1,72,
16,1,73,四条腿之和比其他三个部位之和长。
16,1,74,四条腿之和比其他三个部位之和长。
16,1,75,
16,1,76,
16,1,77,
16,1,78,四条腿之和比其他三个部位之和短。
16,1,79,四条腿之和比其他三个部位之和长。
16,1,80,头加脖子比尾巴长很多。
16,1,81,
16,1,82,
16,1,83,四条腿之和比其他三个部位之和长。
16,1,84,四条腿之和比其他三个部位之和长。
16,1,85,
16,1,86,
16,1,87,四条腿之和比其他三个部位之和长。
16,1,88,四条腿之和比其他三个部位之和长。
16,1,89,头加脖子比腿加尾巴长。
16,1,90,头加脖子和腿加尾巴差不多长。
16,1,91,头加脖子和腿加尾巴差不多长。
16,1,92,头加脖子和腿加尾巴差不多长。
16,1,93,头加脖子和腿加尾巴差不多长。
16,1,94,头加脖子和腿加尾巴差不多长。
16,1,95,头加脖子和腿加尾巴差不多长。
16,1,96,
16,1,97,头加脖子比腿加尾巴长。
16,1,98,头加脖子比腿加尾巴长。
16,1,99,头加脖子比腿加尾巴长。
16,1,100,头加脖子比腿加尾巴短。
16,1,101,腿长。
16,1,102,腿长。
16,1,103,腿短。
16,1,104,
16,1,105,
