iSession,stiID,body_ori,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle,category,ambigous1,ambigous2
1,1,-1,0.91010509030884,0.452517264970574,0.161230811472632,0.487804168228127,0.5,0.5,0.5,0.5,1,0,1
1,2,-1,0.474261911826077,0.484075590753543,0.096721865760036,0.080176404964741,0.5,0.5,0.5,0.5,1,0,1
1,3,1,0.99972399136085,0.222470360348004,0.333447011967148,0.039314963222344,0.5,0.5,0.5,0.5,1,0,0
1,4,-1,0.460974552414165,0.181015606849544,0.381566793639969,0.473266300132605,0.5,0.5,0.5,0.5,1,0,1
1,5,-1,0.128534769538596,0.046837120748603,0.254111957694746,0.076696646850795,0.5,0.5,0.5,0.5,1,0,0
1,6,-1,0.80339954187509,0.22544405502941,0.210574412700362,0.387330757791202,0.5,0.5,0.5,0.5,1,0,0
1,7,-1,0.169926904964227,0.430092288710624,0.025427242270064,0.408487796770421,0.5,0.5,0.5,0.5,1,0,0
1,8,1,0.474853962679237,0.205783670399965,0.177617948109236,0.07366139290364,0.5,0.5,0.5,0.5,1,0,0
1,9,-1,0.78267388616228,0.2590248270034,0.502212867963928,0.278949723093235,0.5,0.5,0.5,0.5,3,1,1
1,10,1,0.289148306464839,0.431166054323255,0.85181415576118,0.23483963601046,0.5,0.5,0.5,0.5,3,0,0
1,11,-1,0.344444179466197,0.321820894636025,0.91992796609437,0.264070482073935,0.5,0.5,0.5,0.5,3,0,0
1,12,-1,0.420418529152113,0.215906604116245,0.735662276294514,0.401933124662764,0.5,0.5,0.5,0.5,3,0,0
1,13,-1,0.312257909296619,0.088524718012665,0.79460643388769,0.057648952612694,0.5,0.5,0.5,0.5,3,0,0
1,14,1,0.96148770637093,0.169146252330282,0.79445551171352,0.419761256285411,0.5,0.5,0.5,0.5,3,0,0
1,15,1,0.78195576106331,0.302386064088364,0.720919413476152,0.499519226120912,0.5,0.5,0.5,0.5,3,0,1
1,16,1,0.76642783687151,0.375330655989038,0.652100297629052,0.35291683317322,0.5,0.5,0.5,0.5,3,0,0
1,17,-1,0.634206828157106,0.435646580976974,0.299168312476026,0.731846039629658,0.5,0.5,0.5,0.5,1,0,0
1,18,-1,0.281349823001435,0.411564421580688,0.045255628538027,0.91589456681954,0.5,0.5,0.5,0.5,1,0,0
1,19,-1,0.96951707055785,0.432954186634948,0.165683680147524,0.533594438250459,0.5,0.5,0.5,0.5,1,0,1
1,20,1,0.373399224589391,0.303859558963251,0.2003043105392,0.633803740975395,0.5,0.5,0.5,0.5,1,0,0
1,21,-1,0.530621849192,0.457826221107685,0.03759450058473,0.91085698181663,0.5,0.5,0.5,0.5,1,0,1
