version,condition,structure1,structure2,iTrial,stiID,category,choice,feedback,choRT
1,3,1,6,1,381,4,4,1.0,16.659
1,3,1,6,2,502,4,4,1.0,2.217
1,3,1,6,3,336,3,3,1.0,3.692
1,3,1,6,4,434,2,2,1.0,2.253
1,3,1,6,5,15,3,3,1.0,8.861
1,3,1,6,6,331,2,2,1.0,4.597
1,3,1,6,7,146,1,1,1.0,1.565
1,3,1,6,8,440,4,4,1.0,2.822
1,3,1,6,9,343,3,3,1.0,2.152
1,3,1,6,10,477,3,3,1.0,9.359
1,3,1,6,11,462,3,3,1.0,1.747
1,3,1,6,12,18,1,1,1.0,3.069
1,3,1,6,13,4,1,1,1.0,2.471
1,3,1,6,14,308,2,2,1.0,8.955
1,3,1,6,15,28,1,1,1.0,2.863
1,3,1,6,16,395,2,2,1.0,1.686
1,3,1,6,17,452,2,2,1.0,1.876
1,3,1,6,18,472,3,3,1.0,4.369
1,3,1,6,19,435,2,2,1.0,4.881
1,3,1,6,20,423,4,4,1.0,4.277
1,3,1,6,21,409,2,2,1.0,3.822
1,3,1,6,22,205,3,3,1.0,4.34
1,3,1,6,23,37,4,4,1.0,4.799
1,3,1,6,24,408,3,3,1.0,1.745
1,3,1,6,25,271,3,3,1.0,1.195
1,3,1,6,26,258,2,2,1.0,6.385
1,3,1,6,27,87,3,3,1.0,1.725
1,3,1,6,28,171,1,1,1.0,6.401
1,3,1,6,29,6,3,3,1.0,1.886
1,3,1,6,30,172,1,1,1.0,4.401
1,3,1,6,31,348,2,2,1.0,2.246
1,3,1,6,32,505,2,2,1.0,1.081
1,3,1,6,33,169,1,1,1.0,7.705
1,3,1,6,34,39,4,4,1.0,3.839
1,3,1,6,35,42,1,1,1.0,1.836
1,3,1,6,36,251,1,1,1.0,2.321
1,3,1,6,37,404,2,2,1.0,1.72
1,3,1,6,38,439,4,4,1.0,1.966
1,3,1,6,39,255,4,4,1.0,1.286
1,3,1,6,40,473,2,2,1.0,1.818
1,3,1,6,41,25,1,1,1.0,4.111
1,3,1,6,42,386,2,2,1.0,1.356
1,3,1,6,43,196,1,1,1.0,3.477
1,3,1,6,44,74,1,1,1.0,1.309
1,3,1,6,45,129,1,1,1.0,1.259
1,3,1,6,46,344,3,3,1.0,2.645
1,3,1,6,47,332,2,2,1.0,2.673
1,3,1,6,48,289,2,2,1.0,1.745
1,3,1,6,49,34,1,1,1.0,1.556
1,3,1,6,50,231,4,4,1.0,3.666
1,3,1,6,51,83,1,1,1.0,1.451
1,3,1,6,52,50,1,1,1.0,1.184
1,3,1,6,53,12,1,1,1.0,2.044
1,3,1,6,54,117,4,4,1.0,2.564
1,3,1,6,55,455,3,3,1.0,1.312
1,3,1,6,56,388,2,2,1.0,2.757
1,3,1,6,57,7,3,3,1.0,1.198
1,3,1,6,58,391,3,3,1.0,1.178
1,3,1,6,59,365,4,4,1.0,4.265
1,3,1,6,60,383,4,4,1.0,1.082
1,3,1,6,61,45,4,4,1.0,3.081
1,3,1,6,62,133,3,3,1.0,2.323
1,3,1,6,63,239,4,4,1.0,1.947
1,3,1,6,64,339,2,2,1.0,1.914
1,3,1,6,65,134,3,3,1.0,2.754
1,3,1,6,66,420,2,2,1.0,5.53
1,3,1,6,67,51,1,1,1.0,2.114
1,3,1,6,68,136,3,3,1.0,1.374
1,3,1,6,69,453,3,3,1.0,1.665
1,3,1,6,70,90,1,1,1.0,1.631
1,3,1,6,71,168,4,4,1.0,3.172
1,3,1,6,72,235,1,1,1.0,4.371
1,3,1,6,73,48,4,4,1.0,2.09
1,3,1,6,74,368,4,4,1.0,1.998
1,3,1,6,75,394,2,2,1.0,3.079
1,3,1,6,76,165,4,4,1.0,2.838
1,3,1,6,77,345,2,2,1.0,1.571
1,3,1,6,78,406,3,3,1.0,2.583
1,3,1,6,79,327,3,3,1.0,1.104
1,3,1,6,80,35,1,1,1.0,2.353
1,3,1,6,81,479,3,3,1.0,3.0
1,3,1,6,82,291,2,2,1.0,3.421
1,3,1,6,83,325,3,3,1.0,2.71
1,3,1,6,84,20,1,1,1.0,2.669
1,3,1,6,85,9,1,1,1.0,1.106
1,3,1,6,86,367,4,4,1.0,1.717
1,3,1,6,87,309,4,4,1.0,1.87
1,3,1,6,88,221,3,3,1.0,13.908
1,3,1,6,89,375,4,4,1.0,1.23
1,3,1,6,90,468,2,2,1.0,1.614
1,3,1,6,91,92,1,1,1.0,1.741
1,3,1,6,92,352,3,3,1.0,4.016
1,3,1,6,93,29,3,3,1.0,6.338
1,3,1,6,94,210,1,1,1.0,2.614
1,3,1,6,95,330,2,2,1.0,1.117
1,3,1,6,96,444,2,2,1.0,2.16
1,3,1,6,97,503,4,4,1.0,3.614
1,3,1,6,98,124,1,1,1.0,2.974
1,3,1,6,99,207,3,3,1.0,2.5
1,3,1,6,100,164,1,1,1.0,1.479
1,3,1,6,101,58,1,1,1.0,1.204
1,3,1,6,102,431,4,4,1.0,3.643
1,3,1,6,103,64,4,4,1.0,1.255
1,3,1,6,104,36,1,1,1.0,1.968
1,3,1,6,105,297,2,2,1.0,2.662
1,3,1,6,106,415,3,3,1.0,2.691
1,3,1,6,107,46,4,4,1.0,1.253
1,3,1,6,108,78,3,3,1.0,1.466
1,3,1,6,109,95,3,4,0.5,24.907
1,3,1,6,110,153,1,1,1.0,2.225
1,3,1,6,111,313,2,2,1.0,1.689
1,3,1,6,112,132,1,1,1.0,18.985
1,3,1,6,113,73,1,1,1.0,0.969
1,3,1,6,114,295,4,4,1.0,2.259
1,3,1,6,115,370,2,2,1.0,1.117
1,3,1,6,116,380,2,1,0.5,4.677
1,3,1,6,117,223,3,3,1.0,9.495
1,3,1,6,118,341,3,3,1.0,4.49
1,3,1,6,119,220,1,1,1.0,2.08
1,3,1,6,120,81,1,1,1.0,0.945
1,3,1,6,121,141,3,3,1.0,1.769
1,3,1,6,122,337,2,2,1.0,1.176
1,3,1,6,123,250,1,1,1.0,1.556
1,3,1,6,124,501,4,4,1.0,2.354
1,3,1,6,125,302,4,4,1.0,1.876
1,3,1,6,126,56,4,4,1.0,1.144
1,3,1,6,127,274,2,2,1.0,1.37
1,3,1,6,128,86,3,3,1.0,1.589
1,3,1,6,129,356,2,2,1.0,12.943
1,3,1,6,130,202,1,1,1.0,1.717
1,3,1,6,131,454,3,3,1.0,1.664
1,3,1,6,132,248,4,4,1.0,1.004
1,3,1,6,133,208,3,3,1.0,1.111
1,3,1,6,134,201,1,1,1.0,1.466
1,3,1,6,135,259,2,2,1.0,1.749
1,3,1,6,136,63,4,4,1.0,1.329
1,3,1,6,137,38,4,4,1.0,1.944
1,3,1,6,138,484,2,2,1.0,2.739
1,3,1,6,139,137,1,1,1.0,1.398
1,3,1,6,140,414,3,3,1.0,3.019
1,3,1,6,141,16,3,3,1.0,1.697
1,3,1,6,142,429,4,4,1.0,1.609
1,3,1,6,143,206,3,3,1.0,1.431
1,3,1,6,144,358,4,4,1.0,1.628
1,3,1,6,145,385,2,2,1.0,1.395
1,3,1,6,146,334,3,3,1.0,1.893
1,3,1,6,147,460,2,2,1.0,1.574
1,3,1,6,148,126,4,4,1.0,3.352
1,3,1,6,149,267,2,2,1.0,3.129
1,3,1,6,150,125,4,4,1.0,1.486
1,3,1,6,151,418,2,2,1.0,2.024
1,3,1,6,152,246,4,4,1.0,1.692
1,3,1,6,153,11,1,1,1.0,2.083
1,3,1,6,154,265,2,2,1.0,2.091
1,3,1,6,155,407,3,3,1.0,8.597
1,3,1,6,156,150,3,3,1.0,2.343
1,3,1,6,157,57,1,1,1.0,1.597
1,3,1,6,158,456,3,3,1.0,1.587
