iTrial,body_ori,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle,category
1,1,0.5,0.5,0.5,0.5,0.833333333333333,0.5,0,0,4
2,1,0.5,0.5,0.5,0.5,0.833333333333333,0.666666666666667,0.333333333333333,0.666666666666667,3
3,1,0.5,0.5,0.5,0.5,1,0.333333333333333,0.166666666666667,0.833333333333333,1
4,-1,0.5,0.5,0.5,0.5,0,1,0.666666666666667,0.5,1
5,-1,0.5,0.5,0.5,0.5,0.666666666666667,0.333333333333333,0.5,0.5,1
6,1,0.5,0.5,0.5,0.5,0.666666666666667,0.666666666666667,0.5,1,4
7,1,0.5,0.5,0.5,0.5,0.333333333333333,0,1,0.333333333333333,3
8,-1,0.5,0.5,0.5,0.5,0.166666666666667,0.666666666666667,0.5,1,2
9,1,0.5,0.5,0.5,0.5,0.833333333333333,0.5,0.333333333333333,0.333333333333333,3
10,-1,0.5,0.5,0.5,0.5,0.166666666666667,1,1,0,4
11,1,0.5,0.5,0.5,0.5,0.5,0.833333333333333,1,0.833333333333333,2
12,1,0.5,0.5,0.5,0.5,1,0.666666666666667,0,0.166666666666667,1
13,-1,0.5,0.5,0.5,0.5,0.333333333333333,0,0,0.666666666666667,3
14,-1,0.5,0.5,0.5,0.5,0.5,0.166666666666667,0.5,0.666666666666667,4
15,1,0.5,0.5,0.5,0.5,0,0,0.333333333333333,0.666666666666667,2
16,-1,0.5,0.5,0.5,0.5,0,0.166666666666667,0.166666666666667,0.166666666666667,1
17,-1,0.5,0.5,0.5,0.5,0.5,0,0.666666666666667,0,3
18,1,0.5,0.5,0.5,0.5,0.833333333333333,0.333333333333333,0.833333333333333,0.833333333333333,4
19,1,0.5,0.5,0.5,0.5,0.166666666666667,0.5,0.833333333333333,0.166666666666667,2
20,-1,0.5,0.5,0.5,0.5,0.333333333333333,1,0.333333333333333,0,2
21,1,0.5,0.5,0.5,0.5,1,0.833333333333333,0.666666666666667,0.333333333333333,2
22,1,0.5,0.5,0.5,0.5,0.5,0.166666666666667,0.833333333333333,1,1
23,-1,0.5,0.5,0.5,0.5,0.166666666666667,0.166666666666667,0.666666666666667,0.5,2
24,1,0.5,0.5,0.5,0.5,0,0.333333333333333,0.166666666666667,1,1
25,-1,0.5,0.5,0.5,0.5,0.666666666666667,1,1,0.833333333333333,3
26,-1,0.5,0.5,0.5,0.5,0.333333333333333,0.833333333333333,0.833333333333333,0.166666666666667,4
27,1,0.5,0.5,0.5,0.5,0.666666666666667,0.5,0.166666666666667,0.5,4
28,1,0.5,0.5,0.5,0.5,1,0.833333333333333,0,0.333333333333333,3
