iTrial,x,y,node,timestamp
1,852,358,down,1733577398433
1,852.2078294588487,353.91782406580506,head_end,1733577398542
1,851.0251778996771,353.23501986975987,head_end,1733577398556
1,837.4967152124273,345.4243582955543,head_end,1733577398573
1,805.1082830682382,326.72488827847684,head_end,1733577398590
1,786.6915137684347,316.091961565632,head_end,1733577398606
1,784.3282634234378,314.7275383427856,head_end,1733577398623
1,782.8335509821856,313.8645657124676,head_end,1733577398640
1,781.6512586648212,313.1819689247764,head_end,1733577398656
1,776.2945977182096,310.08929928529267,head_end,1733577398673
1,771.9977919715778,307.6085373308193,head_end,1733577398690
1,765.9034793015599,304.08998427025864,head_end,1733577398706
1,763.9705958897349,302.9740335121293,head_end,1733577398723
1,762.4780121461614,302.1122898859891,head_end,1733577398740
1,760.1161556990153,300.748671430442,head_end,1733577398756
1,757.1493246391228,299.035770719373,head_end,1733577398773
1,752.8535627529199,296.55561143799923,head_end,1733577398789
1,751.671813597634,295.8733282450803,head_end,1733577398806
1,748.2520719084264,293.8989394602573,head_end,1733577398823
1,742.4550171021726,290.55200830735964,head_end,1733577398839
1,740.0555349946515,289.16666666666663,head_end,1733577398856
1,740.0555349946515,289.16666666666663,head_end,1733577398873
1,740.0555349946515,289.16666666666663,head_end,1733577398890
1,740.0555349946515,289.16666666666663,head_end,1733577398913
1,740.0555349946515,289.16666666666663,head_end,1733577398929
1,740.0555349946515,289.16666666666663,head_end,1733577398940
1,740.0555349946515,289.16666666666663,head_end,1733577398956
1,740.0555349946515,289.16666666666663,head_end,1733577398973
1,740.0555349946515,289.16666666666663,head_end,1733577398990
1,740.0555349946515,289.16666666666663,head_end,1733577399006
1,740.0555349946515,289.16666666666663,head_end,1733577399023
1,684,283,up,1733577399095
3,798,256,down,1733577406288
3,798.7197972890904,258.0364942941718,head_end,1733577406342
3,800.8194822097901,259.24874794835125,head_end,1733577406356
3,809.6400757074944,264.341319978663,head_end,1733577406373
3,827.5618407311591,274.6884558394291,head_end,1733577406389
3,880.8575345330266,305.45873900258516,head_end,1733577406406
3,908.9304887326169,321.66666666666663,head_end,1733577406423
3,908.9304887326169,321.66666666666663,head_end,1733577406439
3,908.9304887326169,321.66666666666663,head_end,1733577406456
3,908.9304887326169,321.66666666666663,head_end,1733577406473
3,908.9304887326169,321.66666666666663,head_end,1733577406489
3,908.9304887326169,321.66666666666663,head_end,1733577406506
3,908.9304887326169,321.66666666666663,head_end,1733577406523
3,908.9304887326169,321.66666666666663,head_end,1733577406539
3,908.9304887326169,321.66666666666663,head_end,1733577406555
3,992,516,up,1733577406556
4,848,265,down,1733577409004
4,853.0761045432364,267.7524562528405,head_end,1733577409043
4,854.2598638241668,268.4358999923414,head_end,1733577409056
4,856.6287740380712,269.8035909420251,head_end,1733577409072
4,860.8253433730106,272.22648137722524,head_end,1733577409089
4,889.8352570598481,288.9753628534887,head_end,1733577409106
4,927.6943724812797,310.83333333333337,head_end,1733577409122
