iSession,iTrial,text
1,1,很高大。
1,2,腿很短，其他挺长。
1,3,很高。
1,4,中等身材，头很短。
1,5,腿较长，其他挺短。
1,6,腿中等长度，其他挺长。
1,7,腿中等长度，头和脖子很长。
1,8,腿中等长度，脖子也挺长。
1,9,腿和尾巴短，头和脖子很长。
1,10,腿中等长度，其他一般。
1,11,腿长，脖子长。
1,12,很高大。
1,13,腿很长，脖子很短。
1,14,腿很短，其他很长。
1,15,腿很短，其他很长，头也不长。
1,16,腿中等长，其他挺长。
1,17,腿短，其他挺长。
1,18,腿长，脖子短。
1,19,腿短，尾巴长，其他一般。
1,20,腿短，其他部位长度中等。
1,21,腿短，尾巴一般，其他两个部位很长。
1,22,腿短，尾巴长。
1,23,很高大。
1,24,很高大。
1,25,头和腿短，其他长。
1,26,腿长，脖子短。
1,27,腿适中，脖子长。
1,28,腿适中，头长。
1,29,腿适中，其实还挺短。
1,30,腿短，其他挺长。
1,31,很高大。
1,32,比较适中，头和尾巴长，脖子短。
1,33,四个部位都短。
1,34,比较高大。
1,35,脖子高，脖子短。
1,36,腿适中，头长。
1,37,挺高大，脖子短。
1,38,腿适中，头长。
1,39,腿短。
1,40,挺高大，脖子短。
1,41,腿适中。
1,42,挺高大，脖子短。
1,43,腿适中。
1,44,腿适中。
1,45,挺高大，脖子短。
1,46,很高大。
1,47,挺高大，脖子短。
1,48,腿适中。
1,49,腿适中。
1,50,挺高大。
1,51,挺高大。
1,52,挺高大。
1,53,腿适中。
1,54,挺高大。
1,55,挺高大。
1,56,挺高大。
1,57,腿适中。
1,58,腿长，脖子短。
1,59,挺高大。
1,60,腿短。
1,61,挺高大。
1,62,腿短。
1,63,腿适中，脖子长。
1,64,腿长，脖子短。
1,65,腿短，其他长。
1,66,腿长，脖子短。
1,67,腿中等，尾巴、脖子长。
1,68,腿中等，头长。
1,69,腿中等，头长。
1,70,身材高大。
1,71,腿中等，其他略长。
1,72,腿中等，头长。
1,73,腿长，脖子短。
1,74,腿中等，头长。
1,75,腿和头长度适中。
1,76,腿和头都短。
1,77,腿中等，头短。
1,78,头和腿都短。
1,79,腿短，头长。
1,80,身材高大。
1,81,腿短，头长。
1,82,身材高大。
1,83,腿中等，头长，其他短。
1,84,腿中等，头略长，其他长。
1,85,腿长，脖子短。
1,86,腿长，脖子短。
1,87,腿中等，头很长。
1,88,腿中等，头很长。
1,89,身材高大。
1,90,腿中等，头中等。
1,91,腿长，脖子短。
1,92,身材高大。
1,93,腿长，脖子短。
1,94,身材高大。
1,95,腿短，头短。
1,96,身材高大。
1,97,腿长，脖子短。
1,98,腿短，头短。
1,99,腿短，头长。
1,100,腿长，脖子长。
1,101,腿长，脖子长。
1,102,腿中的头长。
1,103,腿短，头长。
1,104,腿短，头短。
1,105,腿长，脖子长。
1,106,腿中等，头短。
1,107,腿中等，头长。
1,108,腿短，头长。
1,109,腿短，头长。
1,110,腿中等，头长。
1,111,腿短，头短。
1,112,腿短，头短。
1,113,腿短，头中等。
1,114,腿长，脖子短。
1,115,腿长，脖子长。
1,116,腿长，脖子长。
1,117,腿长，脖子短。
1,118,腿短，头长。
1,119,腿短，头短。
1,120,腿长，脖子短。
1,121,腿长，脖子长。
1,122,腿中等，头短。
1,123,腿和头中等。
1,124,腿中等，头长。
1,125,腿长，脖子短。
1,126,腿长，脖子长。
1,127,腿长，脖子短。
1,128,腿中等，头中等。
1,129,腿长，脖子长。
1,130,腿中等，头中等。
1,131,腿中等，头长。
1,132,腿短，头长。
1,133,腿中等，头中等。
1,134,腿长，脖子长。
1,135,腿长，脖子短。
1,136,腿长，脖子短。
1,137,腿长，脖子长。
1,138,腿略长，头长。
1,139,腿长，脖子短。
1,140,腿长，脖子短。
1,141,腿短，头长。
1,142,腿短，头长。
1,143,腿中等，头中等。
1,144,腿长，脖子短。
1,145,腿长，脖子短。
1,146,腿中等，头长。
1,147,腿中等，头短。
1,148,腿中等，头长。
1,149,腿短，头短。
1,150,腿长，脖子短。
1,151,腿中等，头长。
1,152,腿中等，头短。
1,153,腿短，头长。
1,154,腿短，头中等。
1,155,腿中等，头长。
1,156,腿长，脖子中等。
1,157,腿长，脖子长。
1,158,腿中等，头长。
1,159,腿中等，头长。
1,160,腿长，脖子中等。
1,161,腿中等，头长。
1,162,腿中等，头长。
1,163,选错了。
1,164,腿中等，头短。
1,165,腿短，头短。
1,166,腿短，头中等。
1,167,腿短，头中等。
1,168,腿中等，头短。
1,169,腿短，头长。
1,170,腿中等，头长。
1,171,腿短，头短。
1,172,腿短，头短。
1,173,腿中等，头长。
1,174,腿长，脖子长。
1,175,腿短，头长。
1,176,腿中等，头短。
1,177,腿长，脖子长。
1,178,腿短，头中等。
1,179,腿中等，头长。
1,180,腿短，头短。
1,181,腿长，脖子长。
1,182,腿短，头长。
1,183,腿中等，头长。
1,184,腿中等，头长。
1,185,腿长，脖子短。
1,186,腿中等，头中等。
1,187,腿长，脖子长。
1,188,腿短，脖子长。
1,189,腿短，头短。
1,190,腿长，脖子长。
1,191,腿短，头长。
1,192,腿短，头长。
