iSession,iTrial,text
1,1,头和脖子很长。
1,2,头较短。
1,3,尾巴和头比较短。
1,4,头、脖子、腿、尾巴四个部位的长度大致相等。
1,5,脚很短，尾巴、脖子和头很长。
1,6,脖子和头很长。
1,7,脖子和头很长，腿很短。
1,8,脖子很短，腿、尾巴。头很长。
1,9,脖子很短，腿、尾巴、头很长。
1,10,腿很短，头、脖子、尾巴很长。
1,11,腿很短，头、脖子、尾巴很长。
1,12,头脖子，腿尾巴。大致长度相等。
1,13,脖子很短。
1,14,脖子很短。
1,15,头很长。
1,16,头很短。
1,17,脖子很长，尾巴和腿很短。
1,18,头、脖子、尾巴和腿，等长。
1,19,脖子很长。
1,20,脖子和头很长，腿和尾巴很短。
1,21,脖子、头、尾巴很长，腿很短。
1,22,头和腿较短，尾巴和脖子较长。
1,23,头很短。
1,24,脖子很短。
1,25,脖子和头很长，腿和尾巴很短。
1,26,四肢较为等长。
1,27,头和脖子。
1,28,头和脖子很长。
1,29,尾巴和脖子很长。
1,30,头和脖子很长。
1,31,头很短。
1,32,脖子尾巴较短，头和腿很长。
1,33,头、脖子、腿和尾巴较为等长。
1,34,脖子很长，头、尾巴、腿较短。
1,35,腿和尾巴较长，脖子和头较短。
1,36,尾巴、腿、头和脖子大概长度相等。
1,37,尾巴较短。
1,38,头最短。
1,39,脖子最短。
1,40,尾巴最短。
1,41,脖子最短。
1,42,尾巴最短。
1,43,尾巴最短。
1,44,尾巴最短。
1,45,头最短。
1,46,尾巴最短。
1,47,腿最短。
1,48,脖子最短。
1,49,头最短。
1,50,脖子最短。
1,51,尾巴最短。
1,52,脖子最短。
1,53,脖子最短。
1,54,头最短。
1,55,头最短。
1,56,脖子最短。
1,57,脖子最短。
1,58,腿最短。
1,59,尾巴最短。
1,60,头最短。
1,61,脖子最短。
1,62,尾巴最短。
1,63,尾巴最短。
1,64,头最长。
1,65,尾巴最长。
1,66,头最长。
1,67,尾巴最长。
1,68,头最短。
1,69,脖子最长。
1,70,尾巴最短。
1,71,头最短。
1,72,脚最短。
1,73,腿最短。
1,74,腿最短。
1,75,腿最短，脖子最长。
1,76,头最长。
1,77,腿最长。
1,78,脖子最长。
1,79,尾巴最短。
1,80,尾巴最短。
1,81,脖子最短。
1,82,头和尾巴较短，脖子和腿很长。
1,83,腿和尾巴短。
1,84,头很长。
1,85,腿最短。
1,86,头和尾巴短。
1,87,腿短。
1,88,脖子最短。
1,89,尾巴最短。
1,90,尾巴最短。
1,91,头最短。
1,92,短长。
1,93,脖子最短。
1,94,腿很短。
1,95,腿和头较短。
1,96,腿和头很短。
1,97,尾巴短。
1,98,尾巴短。
1,99,腿最短。
1,100,尾巴短。
1,101,较为等长。
1,102,头和脖子较短。
1,103,尾巴较短。
1,104,头最短。
1,105,腿最短。
1,106,脖子最短。
1,107,腿最短。
1,108,腿最短。
1,109,腿最短。
1,110,头最短。
1,111,尾巴最短。
1,112,尾巴最短。
1,113,脖子短。
1,114,尾巴短。
1,115,头和脖子短。
1,116,头和脖子都长。
1,117,头短，脖子长。
1,118,头长，脖子短。
1,119,头长，脖子短。
1,120,头长，脖子短。
1,121,头长，脖子短。
1,122,头长，脖子长，腿短，尾巴长。
1,123,头短，脖子长。
1,124,尾巴的。
1,125,短长。
1,126,尾巴长。
1,127,腿短，头短。
1,128,腿长，头短。
1,129,头长，腿长。
