iSub,feature_name,level,threshold_mean_mean
401,green,1,0.022433333333333336
401,green,2,0.022633333333333335
401,green,3,0.013266666666666668
401,green,4,0.017166666666666667
401,green,5,0.026333333333333334
401,yellow,1,0.02383333333333333
401,yellow,2,0.0178
401,yellow,3,0.0267
401,yellow,4,0.036333333333333336
401,yellow,5,0.028733333333333333
401,pink,1,0.015000000000000001
401,pink,2,0.02793333333333333
401,pink,3,0.02646666666666667
401,pink,4,0.0267
401,pink,5,0.03326666666666667
401,blue,1,0.0211
401,blue,2,0.022000000000000002
401,blue,3,0.020933333333333335
401,blue,4,0.02493333333333333
401,blue,5,0.02343333333333333
