iSub,condition,feature1_name,feature2_name,feature3_name,feature4_name,iSession,iBlock,iTrial,feature1,feature2,feature3,feature4,probCat1,probCat2,choice,rating,feedback,ambiguous,choRT,text,oral_center,oral_A,oral_b
401,1,green,yellow,pink,blue,1,1,1,0.668739890533626,0.836858405147023,0.619756388397648,0.621147413135336,0.145,0.855,2,1,1,0,6.654,黄色非常短，蓝色比较长。略长于绿色。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,2,0.643652812049545,0.0061956929419335,0.021178758900878,0.930364547800941,0.303,0.697,1,1,0,0,5.632,黄色。绿色都比较短，粉蓝都。绿色非常长，并且蓝色与黄色。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,3,0.30704396309159,0.32302387500054,0.56885029451444,0.239511769675746,0.901,0.099,1,1,1,0,12.808,黄色粉色偏短，绿色蓝色非常短。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,4,0.259396059161693,0.423938113802859,0.236158190019979,0.353532926448869,0.937,0.063,2,1,0,0,10.125,黄色最长，黄、绿、蓝都差不多，都偏短。蓝色略。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,5,0.560282282040816,0.743196816948522,0.550984605416076,0.286488902671807,0.326,0.674,2,1,0,0,8.44,绿色粉色中到长一些，长度差不多都是中等偏上的长度，蓝色和绿色非常短。好像略长。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,6,0.279101862202974,0.780511304376005,0.676280147798033,0.224467378140566,0.887,0.113,1,3,1,0,5.43,粉色比较长，粉色和蓝色差不多，都中等偏短，绿色最短。黄绿。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,7,0.0624022781974721,0.972055679876438,0.384005156180461,0.535302214130336,0.961,0.039,2,1,0,0,13.862,黄色较长，蓝色偏短。最短，绿色偏短，蓝色。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,8,0.368781750397207,0.681470479602674,0.464656648491846,0.386738180986358,0.871,0.129,1,2,1,0,8.592,黄色和粉色长嘴的，黄色比长中等偏上的长度。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,9,0.209762005619064,0.486243430990054,0.432240567895658,0.306481344796141,0.976,0.024,1,1,1,0,3.464,,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,10,0.42623917715209,0.600589097519857,0.874976781347797,0.840077110185904,0.654,0.346,2,1,1,0,4.512,的长度。蓝色非常长，粉绿。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,11,0.810202524534059,0.413610662851678,0.130113630315302,0.21154987591149,0.072,0.928,1,1,0,0,22.585,粉色最长，略长于绿色，都比较长，蓝色略短，黄色非常短。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,12,0.28663432249509,0.893502535412372,0.74222419018415,0.0584169820062348,0.816,0.184,1,4,1,0,2.329,,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,13,0.762698578286559,0.0510826280312266,0.765678719713664,0.374126232599594,0.114,0.886,2,2,1,0,8.345,粉色最长，蓝色、绿色偏短，黄色最。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,14,0.691684155553688,0.628781682491974,0.0891465757600416,0.644075902056584,0.147,0.853,2,1,1,0,12.783,黄色和绿色都很短。长粉色最短。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,15,0.81354718598196,0.79494350416648,0.118342399288684,0.709410750900008,0.082,0.918,1,1,0,0,4.22,偏长，粉色、绿色中等偏短。长，蓝色、粉色、绿色都比较短。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,16,0.0249281993510481,0.64593061588803,0.919448450958672,0.605508519551352,0.97,0.03,2,1,0,0,4.991,左绿色都非常短。的蓝色略长于粉色，它都。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,17,0.968263456341289,0.380147732238236,0.362810077710802,0.440175317543561,0.011,0.989,2,1,1,0,5.543,最短最短，黄色狼粉色就比较长。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,18,0.952851050517827,0.274575705210488,0.805975520964669,0.489451272401735,0.025,0.975,2,2,1,0,7.634,短，绿色蓝色比较短。都比较短，蓝色最长。中等。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,19,0.869635552548436,0.103615334989103,0.630869382751411,0.814901811866238,0.06,0.94,2,3,1,0,4.8,吧，中等长度，最长有粉色，蓝色、绿色都很短。中等偏长。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,20,0.323908119054758,0.808682618317059,0.172264650143004,0.87765434683234,0.792,0.208,1,2,1,0,12.524,,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,21,0.477438427290045,0.230609183227702,0.794288090028266,0.768196656812969,0.552,0.448,2,3,1,1,5.351,,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,22,0.67906787044112,0.372511307756068,0.937443090595211,0.316588030033855,0.174,0.826,1,2,0,0,15.508,粉色非常长，黄、绿、蓝都偏短。黄色、绿色。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,23,0.845018624257309,0.129303361221462,0.0057837637680168,0.738038494401572,0.099,0.901,2,2,1,0,10.687,粉色蓝色粉色蓝色都很长，真的。粉色非常长，略长于蓝色。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,24,0.142382821671199,0.208958949576152,0.940294759629974,0.177277623516879,0.916,0.084,2,1,0,0,6.134,,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,25,0.917758070721783,0.0799866994312071,0.817065560866683,0.341593272889975,0.052,0.948,1,1,0,0,3.312,很长，略长于蓝色。蓝色黄色比较。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,26,0.386918585995299,0.235537707485924,0.986565499762316,0.756837181024675,0.7,0.3,2,1,0,0,4.056,,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,27,0.194311864128014,0.916937697174903,0.0418352243268282,0.547566845864276,0.891,0.109,1,5,1,0,2.312,黄色、粉色比较长，略长于。最长，粉色、绿色差不多，略短于黄色。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,28,0.357144212450077,0.725136566458911,0.54286123021611,0.407241881334494,0.875,0.125,1,5,1,0,2.121,色中呢处于中等长度，再略短于一些。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,29,0.401993008248233,0.459714296665167,0.88734819137648,0.788649259853036,0.708,0.292,2,2,0,0,4.731,,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,30,0.620520006274487,0.48079458737142,0.0593321128693744,0.427682093460795,0.24,0.76,1,2,1,0,2.54,蓝色蓝色非常略短，黄色和粉色。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,31,0.341348850248375,0.185617861922869,0.65284712242505,0.952549790161551,0.775,0.225,2,1,0,0,3.714,黄色，黄色短。绿色都很冷色。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,32,0.937123684376063,0.989255454944441,0.853929370728145,0.689420865308097,0.061,0.939,1,3,0,0,14.778,蓝色和绿色都跟选择黄色差不多，绿色稍微。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,33,0.707092192713981,0.260434194282408,0.301301085271835,0.639302465702449,0.094,0.906,1,1,0,0,3.237,很短，比较长。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,34,0.742794995875313,0.872518799746066,0.514774264637348,0.150191564965554,0.12,0.88,1,6,1,0,2.306,这最。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,35,0.983350805159555,0.348683820337508,0.203313648692671,0.525537565942249,0.018,0.982,2,1,1,0,7.994,黄色中等，略长于，非常长，粉色、绿色都。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,36,0.418007057918101,0.553489679620655,0.0958129387561831,0.038087602010185,0.649,0.351,1,6,0,0,2.201,,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,37,0.898190803048781,0.528902817360554,0.517346442971794,0.11154252277202,0.033,0.967,2,1,1,0,3.454,,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,38,0.239052853932657,0.0191571686448555,0.146597543295273,0.898981566567866,0.836,0.164,1,1,1,0,9.2,黄色和黄色，绿色都粉色和黄色的偏短，绿色最短。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,39,0.0805524007945903,0.623413653804549,0.395669843764251,0.0080179295369173,0.953,0.047,1,4,1,0,2.128,,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,40,0.157456258982344,0.854803931898178,0.0673032020874048,0.167620107319098,0.903,0.097,1,4,1,0,2.953,绿色，蓝色最短，蓝色。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,41,0.999832856503522,0.875101210587869,0.26514364496306,0.135979089051282,0.04,0.96,1,1,0,0,3.89,,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,42,0.890011137226979,0.709801854936178,0.981227688092745,0.06998720123204,0.083,0.917,2,1,1,0,1.589,黄色粉色中等，在中等偏短的位置。粉色最短，偏短。蓝色中等，绿色。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,43,0.0126067272752413,0.450701409604759,0.337858155466105,0.989802622819999,0.965,0.035,1,1,1,0,16.877,,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,44,0.521830080791434,0.312290088833186,0.448339759742454,0.512257267593238,0.415,0.585,2,2,1,1,8.557,,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,45,0.570354575980928,0.93976202502669,0.168549292153288,0.468703534443264,0.359,0.641,1,4,1,0,2.089,黄色最最最长，蓝色的非常。绿色偏短，黄色最短。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,46,0.779983393261128,0.163723746857993,0.192450636474012,0.908197687992673,0.122,0.878,2,2,1,0,3.898,黄色、粉色、蓝色、绿色，黄色非常短。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,47,0.497346147418283,0.39868137454917,0.270527466613889,0.475457130872689,0.509,0.491,2,1,1,1,7.338,黄粉绿，黄色最长，绿黄色绿色中等偏短。蓝色再短。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,48,0.173685472268366,0.92446626312695,0.607366786268091,0.405504010432353,0.94,0.06,1,2,1,0,1.706,蓝色最长，略长于黄长度，绿色最短。色绿色蓝色都偏短。,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,49,0.836608755038064,0.966694571522108,0.410452887821445,0.256178321784329,0.074,0.926,1,4,0,0,1.221,,"[None, None, None, None]",[],[]
401,1,green,yellow,pink,blue,1,1,50,0.449072571735775,0.750444828251023,0.961307437027267,0.80000512890984,0.596,0.404,2,3,0,1,3.805,蓝色略长，粉色差不多长度，蓝色最。,"[None, None, None, None]",[],[]
