subID,condition,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
402,4,3,1,2.500,2.570,0.070,0.500,0.523,0.023,2,1,0,0.441,0.026,0.016
402,4,3,2,2.500,2.579,0.079,0.500,0.526,0.026,2,2,1,0.461,0.025,0.016
402,4,3,3,2.500,2.575,0.075,0.500,0.525,0.025,1,1,1,1.456,0.024,0.016
402,4,3,4,2.500,2.429,-0.071,0.500,0.476,-0.024,1,2,0,0.978,0.027,0.016
402,4,3,5,2.500,2.420,-0.080,0.500,0.473,-0.027,1,1,1,0.272,0.026,0.016
402,4,3,6,2.500,2.576,0.076,0.500,0.525,0.025,1,1,1,0.390,0.024,0.016
402,4,3,7,2.500,2.573,0.073,0.500,0.524,0.024,2,2,1,0.779,0.023,0.016
402,4,3,8,2.500,2.569,0.069,0.500,0.523,0.023,1,1,1,0.240,0.022,0.016
402,4,3,9,2.500,2.434,-0.066,0.500,0.478,-0.022,2,2,1,0.795,0.021,0.016
402,4,3,10,2.500,2.562,0.062,0.500,0.521,0.021,1,1,1,0.532,0.020,0.016
402,4,3,11,2.500,2.558,0.058,0.500,0.519,0.019,2,1,0,0.486,0.023,0.016
402,4,3,12,2.500,2.567,0.067,0.500,0.522,0.022,2,1,0,0.208,0.025,0.015
402,4,3,13,2.500,2.426,-0.074,0.500,0.475,-0.025,1,1,1,0.356,0.024,0.015
402,4,3,14,2.500,2.571,0.071,0.500,0.524,0.024,1,1,1,0.482,0.023,0.015
402,4,3,15,2.500,2.568,0.068,0.500,0.523,0.023,1,1,1,0.356,0.022,0.015
402,4,3,16,2.500,2.435,-0.065,0.500,0.478,-0.022,2,1,0,0.389,0.024,0.015
402,4,3,17,2.500,2.572,0.072,0.500,0.524,0.024,2,1,0,0.496,0.027,0.015
402,4,3,18,2.500,2.579,0.079,0.500,0.526,0.026,2,1,0,0.213,0.029,0.015
402,4,3,19,2.500,2.414,-0.086,0.500,0.471,-0.029,2,2,1,0.475,0.028,0.015
402,4,3,20,2.500,2.417,-0.083,0.500,0.472,-0.028,1,1,1,0.270,0.027,0.015
402,4,3,21,2.500,2.420,-0.080,0.500,0.473,-0.027,2,2,1,0.673,0.026,0.015
402,4,3,22,2.500,2.423,-0.077,0.500,0.474,-0.026,2,1,0,0.286,0.029,0.014
402,4,3,23,2.500,2.584,0.084,0.500,0.528,0.028,1,1,1,0.321,0.028,0.014
402,4,3,24,2.500,2.581,0.081,0.500,0.527,0.027,2,1,0,0.509,0.030,0.014
402,4,3,25,2.500,2.412,-0.088,0.500,0.471,-0.029,2,1,0,0.450,0.032,0.014
402,4,3,26,2.500,2.406,-0.094,0.500,0.469,-0.031,1,1,1,0.382,0.031,0.014
402,4,3,27,2.500,2.591,0.091,0.500,0.530,0.030,1,2,0,0.718,0.033,0.014
402,4,3,28,2.500,2.403,-0.097,0.500,0.468,-0.032,2,1,0,0.331,0.035,0.014
402,4,3,29,2.500,2.604,0.104,0.500,0.535,0.035,2,1,0,0.142,0.037,0.014
402,4,3,30,2.500,2.390,-0.110,0.500,0.463,-0.037,2,1,0,0.394,0.039,0.013
402,4,2,1,1.750,1.820,0.070,0.250,0.273,0.023,2,2,1,0.378,0.022,0.017
402,4,2,2,1.750,1.684,-0.066,0.250,0.228,-0.022,1,1,1,1.752,0.021,0.017
402,4,2,3,1.750,1.688,-0.062,0.250,0.229,-0.021,1,1,1,0.191,0.020,0.017
402,4,2,4,1.750,1.692,-0.058,0.250,0.231,-0.019,1,2,0,0.434,0.023,0.016
402,4,2,5,1.750,1.817,0.067,0.250,0.272,0.022,1,2,0,0.270,0.025,0.016
402,4,2,6,1.750,1.674,-0.076,0.250,0.225,-0.025,2,1,0,0.298,0.028,0.016
402,4,2,7,1.750,1.666,-0.084,0.250,0.222,-0.028,2,1,0,0.197,0.031,0.015
402,4,2,8,1.750,1.659,-0.091,0.250,0.220,-0.030,1,1,1,0.131,0.030,0.015
402,4,2,9,1.750,1.838,0.088,0.250,0.279,0.029,2,1,0,0.402,0.032,0.015
402,4,2,10,1.750,1.654,-0.096,0.250,0.218,-0.032,1,1,1,0.511,0.031,0.015
402,4,2,11,1.750,1.843,0.093,0.250,0.281,0.031,1,1,1,0.351,0.030,0.015
402,4,2,12,1.750,1.839,0.089,0.250,0.280,0.030,2,1,0,0.475,0.033,0.015
402,4,2,13,1.750,1.847,0.097,0.250,0.282,0.032,2,2,1,0.382,0.032,0.015
402,4,2,14,1.750,1.656,-0.094,0.250,0.219,-0.031,2,1,0,0.222,0.034,0.015
402,4,2,15,1.750,1.850,0.100,0.250,0.283,0.033,2,2,1,0.290,0.033,0.015
402,4,2,16,1.750,1.847,0.097,0.250,0.282,0.032,1,1,1,0.227,0.032,0.014
402,4,2,17,1.750,1.655,-0.095,0.250,0.218,-0.032,1,1,1,0.200,0.031,0.014
402,4,2,18,1.750,1.658,-0.092,0.250,0.219,-0.031,1,1,1,0.148,0.030,0.014
402,4,2,19,1.750,1.839,0.089,0.250,0.280,0.030,1,1,1,0.149,0.029,0.014
402,4,2,20,1.750,1.836,0.086,0.250,0.279,0.029,2,2,1,0.275,0.028,0.014
402,4,2,21,1.750,1.667,-0.083,0.250,0.222,-0.028,2,1,0,0.335,0.030,0.014
402,4,2,22,1.750,1.839,0.089,0.250,0.280,0.030,2,2,1,0.155,0.029,0.014
402,4,2,23,1.750,1.663,-0.087,0.250,0.221,-0.029,1,2,0,0.815,0.032,0.014
402,4,2,24,1.750,1.657,-0.093,0.250,0.219,-0.031,1,2,0,0.275,0.034,0.014
402,4,2,25,1.750,1.651,-0.099,0.250,0.217,-0.033,1,1,1,0.146,0.033,0.014
