subID,feature,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
403,2,4,1,3.250,3.320,0.070,0.750,0.773,0.023,1,2,0,0.819,0.026,0.016
403,2,4,2,3.250,3.171,-0.079,0.750,0.724,-0.026,1,2,0,3.486,0.029,0.016
403,2,4,3,3.250,3.337,0.087,0.750,0.779,0.029,1,1,1,0.868,0.028,0.016
403,2,4,4,3.250,3.167,-0.083,0.750,0.722,-0.028,1,2,0,1.829,0.031,0.016
403,2,4,5,3.250,3.159,-0.091,0.750,0.720,-0.030,2,2,1,0.115,0.030,0.016
403,2,4,6,3.250,3.338,0.088,0.750,0.779,0.029,1,1,1,0.398,0.028,0.016
403,2,4,7,3.250,3.165,-0.085,0.750,0.722,-0.028,1,1,1,0.322,0.027,0.016
403,2,4,8,3.250,3.331,0.081,0.750,0.777,0.027,1,1,1,0.228,0.026,0.016
403,2,4,9,3.250,3.328,0.078,0.750,0.776,0.026,2,2,1,0.214,0.025,0.016
403,2,4,10,3.250,3.325,0.075,0.750,0.775,0.025,2,1,0,0.202,0.028,0.015
403,2,4,11,3.250,3.332,0.082,0.750,0.777,0.027,2,1,0,0.235,0.030,0.015
403,2,4,12,3.250,3.161,-0.089,0.750,0.720,-0.030,1,1,1,0.181,0.029,0.015
403,2,4,13,3.250,3.164,-0.086,0.750,0.721,-0.029,1,1,1,0.116,0.028,0.015
403,2,4,14,3.250,3.167,-0.083,0.750,0.722,-0.028,2,2,1,0.078,0.027,0.015
403,2,4,15,3.250,3.330,0.080,0.750,0.777,0.027,2,2,1,0.164,0.026,0.015
403,2,4,16,3.250,3.327,0.077,0.750,0.776,0.026,1,1,1,0.039,0.025,0.015
403,2,4,17,3.250,3.176,-0.074,0.750,0.725,-0.025,2,2,1,0.278,0.024,0.015
403,2,4,18,3.250,3.321,0.071,0.750,0.774,0.024,1,1,1,0.115,0.023,0.015
403,2,4,19,3.250,3.318,0.068,0.750,0.773,0.023,1,1,1,0.189,0.022,0.015
403,2,4,20,3.250,3.185,-0.065,0.750,0.728,-0.022,2,2,1,1.056,0.021,0.015
403,2,4,21,3.250,3.312,0.062,0.750,0.771,0.021,1,1,1,0.030,0.020,0.015
403,2,4,22,3.250,3.191,-0.059,0.750,0.730,-0.020,1,1,1,0.051,0.019,0.015
403,2,4,23,3.250,3.306,0.056,0.750,0.769,0.019,1,1,1,0.005,0.018,0.015
403,2,4,24,3.250,3.198,-0.052,0.750,0.733,-0.017,1,1,1,0.072,0.017,0.015
403,2,4,25,3.250,3.201,-0.049,0.750,0.734,-0.016,1,1,1,0.054,0.016,0.015
403,2,4,26,3.250,3.203,-0.047,0.750,0.734,-0.016,1,1,1,0.343,0.015,0.015
403,2,4,27,3.250,3.206,-0.044,0.750,0.735,-0.015,1,1,1,0.108,0.014,0.015
403,2,4,28,3.250,3.291,0.041,0.750,0.764,0.014,1,1,1,0.069,0.013,0.015
403,2,4,29,3.250,3.288,0.038,0.750,0.763,0.013,2,2,1,0.080,0.012,0.014
403,2,4,30,3.250,3.215,-0.035,0.750,0.738,-0.012,2,2,1,0.005,0.011,0.014
403,2,1,1,1.000,1.070,0.070,0.000,0.023,0.023,1,2,0,1.623,0.026,0.016
403,2,1,2,1.000,1.079,0.079,0.000,0.026,0.026,1,1,1,0.358,0.025,0.016
403,2,1,3,1.000,1.075,0.075,0.000,0.025,0.025,1,2,0,0.048,0.028,0.016
403,2,1,4,1.000,1.083,0.083,0.000,0.028,0.028,1,2,0,0.110,0.031,0.016
403,2,1,5,1.000,1.091,0.091,0.000,0.030,0.030,2,2,1,0.274,0.029,0.016
403,2,1,6,1.000,1.087,0.087,0.000,0.029,0.029,1,1,1,0.052,0.028,0.016
403,2,1,7,1.000,1.084,0.084,0.000,0.028,0.028,2,2,1,0.004,0.027,0.016
403,2,1,8,1.000,1.081,0.081,0.000,0.027,0.027,1,1,1,0.205,0.026,0.016
403,2,1,9,1.000,1.077,0.077,0.000,0.026,0.026,2,1,0,1.033,0.029,0.015
403,2,1,10,1.000,1.085,0.085,0.000,0.028,0.028,1,1,1,0.090,0.028,0.015
403,2,1,11,1.000,1.082,0.082,0.000,0.027,0.027,2,2,1,0.251,0.027,0.015
403,2,1,12,1.000,1.079,0.079,0.000,0.026,0.026,2,2,1,0.009,0.026,0.015
403,2,1,13,1.000,1.076,0.076,0.000,0.025,0.025,2,2,1,0.059,0.025,0.015
403,2,1,14,1.000,1.072,0.072,0.000,0.024,0.024,1,1,1,0.419,0.023,0.015
403,2,1,15,1.000,1.069,0.069,0.000,0.023,0.023,2,2,1,0.386,0.022,0.015
403,2,1,16,1.000,1.066,0.066,0.000,0.022,0.022,2,2,1,0.325,0.021,0.015
403,2,1,17,1.000,1.063,0.063,0.000,0.021,0.021,1,1,1,0.044,0.020,0.015
403,2,1,18,1.000,1.060,0.060,0.000,0.020,0.020,2,2,1,0.328,0.019,0.015
403,2,1,19,1.000,1.056,0.056,0.000,0.019,0.019,1,1,1,0.035,0.018,0.015
403,2,1,20,1.000,1.053,0.053,0.000,0.018,0.018,2,2,1,0.006,0.017,0.015
403,2,1,21,1.000,1.050,0.050,0.000,0.017,0.017,2,2,1,0.088,0.016,0.015
403,2,1,22,1.000,1.047,0.047,0.000,0.016,0.016,2,2,1,0.317,0.015,0.015
403,2,1,23,1.000,1.044,0.044,0.000,0.015,0.015,2,2,1,0.060,0.014,0.015
403,2,1,24,1.000,1.041,0.041,0.000,0.014,0.014,1,1,1,0.030,0.013,0.015
403,2,1,25,1.000,1.038,0.038,0.000,0.013,0.013,2,2,1,0.293,0.012,0.015
403,2,1,26,1.000,1.035,0.035,0.000,0.012,0.012,2,1,0,0.381,0.014,0.015
403,2,1,27,1.000,1.041,0.041,0.000,0.014,0.014,1,1,1,0.236,0.013,0.015
403,2,1,28,1.000,1.038,0.038,0.000,0.013,0.013,1,1,1,0.175,0.012,0.015
403,2,1,29,1.000,1.036,0.036,0.000,0.012,0.012,1,1,1,0.484,0.011,0.015
403,2,1,30,1.000,1.033,0.033,0.000,0.011,0.011,1,2,0,0.263,0.014,0.014
403,2,3,1,2.500,2.430,-0.070,0.500,0.477,-0.023,1,1,1,0.918,0.022,0.017
403,2,3,2,2.500,2.566,0.066,0.500,0.522,0.022,1,1,1,0.267,0.021,0.017
403,2,3,3,2.500,2.438,-0.062,0.500,0.479,-0.021,1,1,1,0.384,0.020,0.017
403,2,3,4,2.500,2.442,-0.058,0.500,0.481,-0.019,1,1,1,0.002,0.018,0.017
403,2,3,5,2.500,2.446,-0.054,0.500,0.482,-0.018,2,2,1,0.510,0.017,0.017
403,2,3,6,2.500,2.450,-0.050,0.500,0.483,-0.017,2,2,1,0.366,0.016,0.017
403,2,3,7,2.500,2.547,0.047,0.500,0.516,0.016,1,1,1,0.403,0.015,0.017
403,2,3,8,2.500,2.457,-0.043,0.500,0.486,-0.014,2,1,0,0.531,0.017,0.016
403,2,3,9,2.500,2.551,0.051,0.500,0.517,0.017,1,2,0,0.347,0.020,0.016
403,2,3,10,2.500,2.440,-0.060,0.500,0.480,-0.020,1,1,1,0.273,0.019,0.016
403,2,3,11,2.500,2.444,-0.056,0.500,0.481,-0.019,2,2,1,0.066,0.018,0.016
403,2,3,12,2.500,2.447,-0.053,0.500,0.482,-0.018,2,2,1,0.589,0.017,0.016
403,2,3,13,2.500,2.549,0.049,0.500,0.516,0.016,2,2,1,0.081,0.016,0.016
403,2,3,14,2.500,2.546,0.046,0.500,0.515,0.015,1,1,1,0.701,0.014,0.016
403,2,3,15,2.500,2.458,-0.042,0.500,0.486,-0.014,2,2,1,0.098,0.013,0.016
403,2,3,16,2.500,2.461,-0.039,0.500,0.487,-0.013,1,1,1,0.154,0.012,0.016
403,2,3,17,2.500,2.465,-0.035,0.500,0.488,-0.012,1,2,0,0.052,0.015,0.016
403,2,3,18,2.500,2.457,-0.043,0.500,0.486,-0.014,1,2,0,0.354,0.017,0.015
403,2,3,19,2.500,2.449,-0.051,0.500,0.483,-0.017,2,2,1,0.360,0.016,0.015
403,2,3,20,2.500,2.452,-0.048,0.500,0.484,-0.016,1,2,0,0.225,0.019,0.015
403,2,3,21,2.500,2.555,0.055,0.500,0.518,0.018,1,1,1,0.351,0.018,0.015
403,2,3,22,2.500,2.448,-0.052,0.500,0.483,-0.017,1,1,1,0.270,0.017,0.015
