iSub,ruleID,iSession,iBlock,iTrial,stiID,feature1,feature2,feature3,feature4,feature5,category,choice,presskey,rating,feedback,choRT,rateRT,recDU,text,fidelity,Intercept,X1,X2,X3,X4,X5,X1*X2,X1*X3,X1*X4,X1*X5,X2*X3,X2*X4,X2*X5,X3*X4,X3*X5,X4*X5,X1*X2*X3,X1*X2*X4,X1*X2*X5,X1*X3*X4,X1*X3*X5,X1*X4*X5,X2*X3*X4,X2*X3*X5,X2*X4*X5,X3*X4*X5,X1*X2*X3*X4,X1*X2*X3*X5,X1*X2*X4*X5,X1*X3*X4*X5,X2*X3*X4*X5,X1*X2*X3*X4*X5,rule_result
501,1,1,1,1,32,1,1,1,1,1,1,1,1,1,1,5.383,1.669,4.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,1,1,1,2,2,-1,-1,-1,-1,1,1,2,2,2,0,5.688,1.555,22.506,四个格子为黑色，一个格子为白色。,1,0.6875,0.1875,0.1875,0.1875,0.1875,0.1875,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,0.1875,0.1875,0.1875,0.1875,0.1875,-0.3125,-1
501,1,1,1,3,10,-1,1,-1,-1,1,2,1,1,1,0,31.058,1.543,4.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,1,1,1,4,16,-1,1,1,1,1,1,1,1,1,1,3.073,1.513,8.999,四个格子为白色，一个格子为黑色。,1,-0.6875,0.1875,0.1875,0.1875,0.1875,0.1875,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.3125,1
501,1,1,1,5,21,1,-1,1,-1,-1,1,1,1,1,1,94.075,1.786,13.092,第1个格子为白色。,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501,1,1,1,6,29,1,1,1,-1,-1,2,1,1,2,0,2.027,0.735,10.729,第1个格子为白色。,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501,1,1,1,7,6,-1,-1,1,-1,1,1,2,2,2,0,38.867,0.662,20.823,第5个格子为白色。,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
501,1,1,1,8,31,1,1,1,1,-1,1,1,1,1,1,4.62,1.216,4.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,1,1,1,9,10,-1,1,-1,-1,1,2,2,2,1,1,49.938,1.101,5.413,第1、3、4个格子为黑色，第2、5个格子为白色。,1,0.9375,0.0625,-0.0625,0.0625,0.0625,-0.0625,0.0625,-0.0625,-0.0625,0.0625,0.0625,0.0625,-0.0625,-0.0625,0.0625,0.0625,-0.0625,-0.0625,0.0625,0.0625,-0.0625,-0.0625,-0.0625,0.0625,0.0625,-0.0625,0.0625,-0.0625,-0.0625,0.0625,-0.0625,0.0625,-1
501,1,1,1,10,23,1,-1,1,1,-1,2,2,2,6,1,23.553,2.202,12.657,第1、3、4个格子为白色，第2、5个格子为黑色。,1,0.9375,-0.0625,0.0625,-0.0625,-0.0625,0.0625,0.0625,-0.0625,-0.0625,0.0625,0.0625,0.0625,-0.0625,-0.0625,0.0625,0.0625,0.0625,0.0625,-0.0625,-0.0625,0.0625,0.0625,0.0625,-0.0625,-0.0625,0.0625,0.0625,-0.0625,-0.0625,0.0625,-0.0625,-0.0625,-1
