ruleID,iSession,iBlock,iTrial,stiID,category,choice,presskey,rating,feedback,choRT,rateRT,recDU
1,1,1,1,23,2,1,2,1,0,85.58,1.34,16.833
1,1,1,2,19,2,1,2,1,0,29.432,1.331,10.507
1,1,1,3,32,1,1,2,1,1,51.478,1.268,12.653
1,1,1,4,11,1,1,2,1,1,29.271,1.684,21.592
1,1,1,5,12,1,2,1,1,0,9.034,1.867,13.51
1,1,1,6,31,1,1,2,1,1,30.745,1.087,18.58
1,1,1,7,26,2,1,2,1,0,36.704,1.474,23.94
1,1,1,8,13,2,1,2,1,0,3.232,4.15,15.147
1,1,1,9,2,1,1,2,1,1,10.762,1.244,14.498
1,1,1,10,16,1,1,2,1,1,3.164,1.765,10.534
1,1,1,11,16,1,1,2,2,1,6.411,1.05,11.235
1,1,1,12,13,2,2,1,2,1,1.707,1.247,11.168
1,1,1,13,8,2,1,2,2,0,5.467,1.272,11.636
1,1,1,14,5,1,1,2,1,1,34.428,4.535,29.418
1,1,1,15,2,1,1,2,1,1,2.456,1.461,17.808
1,1,1,16,10,2,2,1,1,1,13.651,1.726,16.324
1,1,1,17,18,1,2,1,2,0,2.38,1.398,17.488
1,1,1,18,18,1,1,2,1,1,8.12,1.387,14.136
1,1,1,19,11,1,2,1,1,0,6.447,2.639,20.21
1,1,1,20,5,1,1,2,1,1,18.785,1.069,28.157
1,1,1,21,32,1,1,2,3,1,1.177,1.274,10.302
1,1,1,22,29,2,1,2,1,0,14.379,1.383,17.614
1,1,1,23,25,2,2,1,1,1,12.859,1.14,14.5
1,1,1,24,31,1,1,2,2,1,1.035,2.771,21.638
1,1,1,25,21,1,2,1,1,0,1.645,2.008,13.677
1,1,1,26,27,1,1,2,1,1,39.587,1.028,17.85
1,1,1,27,15,1,1,2,1,1,60.986,0.979,11.962
1,1,1,28,21,1,1,2,1,1,16.835,3.307,11.266
1,1,1,29,6,1,1,2,1,1,4.849,0.985,10.498
1,1,1,30,32,1,1,2,2,1,2.405,1.653,9.189
1,1,1,31,31,1,1,2,1,1,149.13,0.523,14.7
