iSub,feature_name,level,threshold_mean_mean
333,green,1,0.021133333333333334
333,green,2,0.0247
333,green,3,0.026933333333333333
333,green,4,0.023366666666666664
333,green,5,0.03236666666666667
333,yellow,1,0.015333333333333334
333,yellow,2,0.033133333333333334
333,yellow,3,0.032
333,yellow,4,0.0285
333,yellow,5,0.019299999999999998
333,pink,1,0.0241
333,pink,2,0.027266666666666668
333,pink,3,0.03596666666666667
333,pink,4,0.0262
333,pink,5,0.0418
333,blue,1,0.0181
333,blue,2,0.0291
333,blue,3,0.021666666666666667
333,blue,4,0.0231
333,blue,5,0.025433333333333332
334,green,1,0.014533333333333334
334,green,2,0.014833333333333334
334,green,3,0.01846666666666667
334,green,4,0.0222
334,green,5,0.011066666666666667
334,yellow,1,0.014866666666666667
334,yellow,2,0.019633333333333332
334,yellow,3,0.019033333333333333
334,yellow,4,0.013233333333333335
334,yellow,5,0.014766666666666668
334,pink,1,0.014133333333333333
334,pink,2,0.014366666666666666
334,pink,3,0.019866666666666664
334,pink,4,0.015666666666666666
334,pink,5,0.0118
334,blue,1,0.022266666666666667
334,blue,2,0.02246666666666667
334,blue,3,0.016166666666666666
334,blue,4,0.0206
334,blue,5,0.017
335,green,1,0.017633333333333334
335,green,2,0.017933333333333336
335,green,3,0.018000000000000002
335,green,4,0.023766666666666665
335,green,5,0.0267
335,yellow,1,0.017266666666666666
335,yellow,2,0.0183
335,yellow,3,0.026733333333333335
335,yellow,4,0.025833333333333333
335,yellow,5,0.0282
335,pink,1,0.017933333333333336
335,pink,2,0.0165
335,pink,3,0.028966666666666665
335,pink,4,0.020399999999999998
335,pink,5,0.021033333333333334
335,blue,1,0.013133333333333334
335,blue,2,0.014566666666666667
335,blue,3,0.022133333333333335
335,blue,4,0.024166666666666666
335,blue,5,0.0149
