subID,condition,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
1,4,3,1,2.500,2.430,-0.070,0.500,0.477,-0.023,2,2,1,3.483,0.022,0.017
1,4,3,2,2.500,2.566,0.066,0.500,0.522,0.022,1,1,1,0.293,0.021,0.017
1,4,3,3,2.500,2.438,-0.062,0.500,0.479,-0.021,2,2,1,0.293,0.020,0.017
1,4,3,4,2.500,2.442,-0.058,0.500,0.481,-0.019,2,2,1,2.499,0.018,0.017
1,4,3,5,2.500,2.446,-0.054,0.500,0.482,-0.018,1,2,0,1.621,0.021,0.016
1,4,3,6,2.500,2.437,-0.063,0.500,0.479,-0.021,1,1,1,0.521,0.020,0.016
1,4,3,7,2.500,2.441,-0.059,0.500,0.480,-0.020,2,1,0,4.351,0.023,0.016
1,4,3,8,2.500,2.568,0.068,0.500,0.523,0.023,1,1,1,0.632,0.022,0.016
1,4,3,9,2.500,2.564,0.064,0.500,0.521,0.021,1,1,1,0.249,0.021,0.016
1,4,3,10,2.500,2.439,-0.061,0.500,0.480,-0.020,2,2,1,0.197,0.019,0.016
1,4,3,11,2.500,2.443,-0.057,0.500,0.481,-0.019,2,1,0,0.785,0.022,0.016
1,4,3,12,2.500,2.565,0.065,0.500,0.522,0.022,2,2,1,0.405,0.021,0.016
1,4,3,13,2.500,2.438,-0.062,0.500,0.479,-0.021,1,1,1,0.345,0.020,0.016
1,4,3,14,2.500,2.442,-0.058,0.500,0.481,-0.019,2,2,1,1.142,0.019,0.016
1,4,3,15,2.500,2.555,0.055,0.500,0.518,0.018,1,1,1,2.301,0.018,0.016
1,4,3,16,2.500,2.448,-0.052,0.500,0.483,-0.017,2,2,1,0.939,0.017,0.016
1,4,3,17,2.500,2.452,-0.048,0.500,0.484,-0.016,2,1,0,0.333,0.019,0.015
1,4,3,18,2.500,2.444,-0.056,0.500,0.481,-0.019,2,1,0,0.526,0.022,0.015
1,4,3,19,2.500,2.564,0.064,0.500,0.521,0.021,2,1,0,0.480,0.024,0.015
1,4,3,20,2.500,2.571,0.071,0.500,0.524,0.024,1,1,1,0.276,0.023,0.015
1,4,3,21,2.500,2.568,0.068,0.500,0.523,0.023,1,2,0,1.129,0.025,0.015
1,4,3,22,2.500,2.575,0.075,0.500,0.525,0.025,2,2,1,0.293,0.025,0.015
1,4,3,23,2.500,2.572,0.072,0.500,0.524,0.024,2,2,1,0.239,0.024,0.015
1,4,3,24,2.500,2.431,-0.069,0.500,0.477,-0.023,2,1,0,0.304,0.026,0.014
1,4,3,25,2.500,2.576,0.076,0.500,0.525,0.025,2,2,1,0.809,0.025,0.014
1,4,3,26,2.500,2.573,0.073,0.500,0.524,0.024,1,1,1,0.276,0.024,0.014
1,4,3,27,2.500,2.570,0.070,0.500,0.523,0.023,1,1,1,0.367,0.023,0.014
1,4,3,28,2.500,2.433,-0.067,0.500,0.478,-0.022,1,1,1,0.324,0.022,0.014
1,4,3,29,2.500,2.564,0.064,0.500,0.521,0.021,2,2,1,0.353,0.021,0.014
1,4,3,30,2.500,2.561,0.061,0.500,0.520,0.020,2,1,0,1.231,0.023,0.014
1,4,1,1,1.000,1.070,0.070,0.000,0.023,0.023,2,2,1,0.368,0.022,0.017
1,4,1,2,1.000,1.066,0.066,0.000,0.022,0.022,1,1,1,0.365,0.021,0.017
1,4,1,3,1.000,1.062,0.062,0.000,0.021,0.021,2,2,1,0.794,0.020,0.017
1,4,1,4,1.000,1.058,0.058,0.000,0.019,0.019,2,2,1,0.309,0.018,0.017
1,4,1,5,1.000,1.054,0.054,0.000,0.018,0.018,1,1,1,0.498,0.017,0.017
1,4,1,6,1.000,1.050,0.050,0.000,0.017,0.017,1,1,1,0.367,0.016,0.017
1,4,1,7,1.000,1.047,0.047,0.000,0.016,0.016,2,2,1,0.356,0.015,0.017
1,4,1,8,1.000,1.043,0.043,0.000,0.014,0.014,2,1,0,0.281,0.017,0.016
1,4,1,9,1.000,1.051,0.051,0.000,0.017,0.017,1,1,1,0.142,0.016,0.016
1,4,1,10,1.000,1.048,0.048,0.000,0.016,0.016,1,1,1,0.390,0.015,0.016
