stiID,feature1_name,feature2_name,feature3_name,feature4_name,feature1,feature2,feature3,feature4,category,ambiguous_fam,ambiguous_spe
1,green,yellow,pink,blue,0.00969871699314562,0.594462208457785,0.592614039973286,0.323163146233508,2,0,0
2,green,yellow,pink,blue,0.721918303754881,0.092307506539879,0.423518893444361,0.894491930657037,3,0,0
3,green,yellow,pink,blue,0.111283920773219,0.956312515623863,0.787788080797446,0.186364987582953,2,0,0
4,green,yellow,pink,blue,0.585074858576368,0.172361993079744,0.418440792034362,0.494044001326058,3,0,0
5,green,yellow,pink,blue,0.245260706821309,0.807233927972936,0.654208668080204,0.968960407824942,2,0,0
6,green,yellow,pink,blue,0.786068489435562,0.177376320673213,0.985327456555276,0.43413741306145,4,0,0
7,green,yellow,pink,blue,0.899213640271038,0.664460865816499,0.241158815520878,0.337014708905049,3,0,0
8,green,yellow,pink,blue,0.375001928397773,0.519749956280425,0.757907718659852,0.0876975744092917,2,0,1
9,green,yellow,pink,blue,0.236394088278472,0.954873006354572,0.768468115164433,0.0693438819310075,2,0,0
10,green,yellow,pink,blue,0.494053891183827,0.191154633343781,0.363479659886834,0.383264830970953,1,1,1
11,green,yellow,pink,blue,0.767577717764455,0.699308458765087,0.824537073442369,0.865480596022082,4,0,0
12,green,yellow,pink,blue,0.0817498453005501,0.378907955330766,0.82194399416921,0.944032026532809,1,0,0
13,green,yellow,pink,blue,0.421572968509933,0.0738543437174422,0.246154453374025,0.732050777260087,1,0,0
14,green,yellow,pink,blue,0.674163099048717,0.703161819981096,0.254625761903533,0.61696978692029,3,0,0
15,green,yellow,pink,blue,0.882343692135583,0.763004039025122,0.155212944847352,0.690504474936732,3,0,0
16,green,yellow,pink,blue,0.751580302700986,0.888565232695523,0.0128264246931953,0.552222318514984,3,0,0
17,green,yellow,pink,blue,0.391508745978087,0.257983043008878,0.424153821627252,0.287050228040492,1,0,0
18,green,yellow,pink,blue,0.231085010013858,0.376263239153192,0.450395214863857,0.59701162782144,1,0,1
19,green,yellow,pink,blue,0.416820125496317,0.83449193927938,0.0714270035503318,0.723157567967807,2,0,0
20,green,yellow,pink,blue,0.0932768393990388,0.528337229445331,0.334257775454553,0.185877491037587,2,0,1
21,green,yellow,pink,blue,0.340836639296827,0.190234066990528,0.0409421192270217,0.187488857532367,1,0,0
22,green,yellow,pink,blue,0.163513636702445,0.829318413250402,0.0915247426272,0.166202220613403,2,0,0
23,green,yellow,pink,blue,0.184150870515107,0.00475964502985177,0.943541443643671,0.228017432555594,1,0,0
24,green,yellow,pink,blue,0.0942034363128781,0.783462181609019,0.0878798419058885,0.747927546831064,2,0,0
25,green,yellow,pink,blue,0.453833955766476,0.701289880211352,0.286260814062326,0.293391346041576,2,1,1
26,green,yellow,pink,blue,0.733172860169448,0.376358585646454,0.405338503431025,0.329261894204676,3,0,0
27,green,yellow,pink,blue,0.27883632879363,0.0502826581894338,0.895605423027666,0.624317255268824,1,0,0
28,green,yellow,pink,blue,0.338720949214638,0.270329803222601,0.573514281901737,0.210703289131985,1,0,0
29,green,yellow,pink,blue,0.511415217467801,0.690756040394345,0.47447176676163,0.679624785471025,3,1,1
30,green,yellow,pink,blue,0.929374857598487,0.666729939140634,0.894687225624132,0.293948396415599,4,0,0
31,green,yellow,pink,blue,0.547479003221582,0.507677657197181,0.55944653223295,0.0897890921236684,4,1,1
32,green,yellow,pink,blue,0.97599555886147,0.325433185163081,0.493905840941076,0.292651751684461,3,0,1
33,green,yellow,pink,blue,0.912647612017808,0.996836046303286,0.246748126658532,0.814743747129056,3,0,0
34,green,yellow,pink,blue,0.697270914748408,0.354330571142129,0.071537072887861,0.139660778478701,3,0,0
35,green,yellow,pink,blue,0.840270640232563,0.400212023481211,0.931500393334154,0.781450247278383,4,0,0
36,green,yellow,pink,blue,0.403983726991216,0.235772580381867,0.415279520923537,0.504871835571128,1,0,0
37,green,yellow,pink,blue,0.531423225889092,0.804746095273503,0.813269493471412,0.934972217735893,4,1,1
38,green,yellow,pink,blue,0.450479185944536,0.298183056184936,0.61146093817106,0.578222803623684,1,1,1
39,green,yellow,pink,blue,0.796705345875724,0.360586843762587,0.736802554409703,0.94747297973594,4,0,0
40,green,yellow,pink,blue,0.58099111403681,0.36970452263861,0.341420674521993,0.257524544435479,3,0,0
41,green,yellow,pink,blue,0.0955647985186031,0.189658655816293,0.946855012673189,0.16454554021726,1,0,0
42,green,yellow,pink,blue,0.433851177410308,0.538480958328034,0.677821610108504,0.429899891753559,2,0,1
43,green,yellow,pink,blue,0.21175387217002,0.500847545137326,0.741220078327898,0.00150125326913886,2,0,1
44,green,yellow,pink,blue,0.240694885133975,0.916798662396257,0.0616931797218819,0.426352250525883,2,0,0
45,green,yellow,pink,blue,0.796623766907087,0.141707479215971,0.82980544788452,0.968891344207773,4,0,0
46,green,yellow,pink,blue,0.584248373108034,0.779711792238978,0.103230323928964,0.0909655116743597,3,0,0
47,green,yellow,pink,blue,0.0485934924398179,0.159532456660187,0.566843561813776,0.175570835824755,1,0,0
48,green,yellow,pink,blue,0.884160127191059,0.946237135184385,0.281691525587352,0.285793083501752,3,0,0
49,green,yellow,pink,blue,0.829408305625673,0.601847633326604,0.15220120178957,0.58043486230498,3,0,0
50,green,yellow,pink,blue,0.0294887378626489,0.752842185084419,0.238717926739773,0.89797974860738,2,0,0
51,green,yellow,pink,blue,0.302146647467335,0.100642483807722,0.505072395569719,0.557445379997833,1,0,1
52,green,yellow,pink,blue,0.65816003604536,0.408194367128589,0.277884632128922,0.824894113534725,3,0,0
53,green,yellow,pink,blue,0.88874409298489,0.630560219010903,0.983257115059317,0.596025274799502,4,0,0
54,green,yellow,pink,blue,0.927909692474237,0.842574929508714,0.620291468647801,0.342754179938036,4,0,0
55,green,yellow,pink,blue,0.616746728005421,0.14717801796894,0.167707042648707,0.719333350654768,3,0,0
56,green,yellow,pink,blue,0.547420239254276,0.824374075843413,0.816378509075901,0.25741609619329,4,1,1
57,green,yellow,pink,blue,0.637335710957766,0.584616458293979,0.88641784883182,0.0262080950468612,4,0,0
58,green,yellow,pink,blue,0.64936299222237,0.288265720865585,0.937852716949331,0.329898965169513,4,0,0
59,green,yellow,pink,blue,0.332883205919061,0.363611402324372,0.348759449196523,0.527216827687793,1,0,0
60,green,yellow,pink,blue,0.56754684953802,0.0341137952104276,0.763608988032416,0.665322733550228,4,0,0
61,green,yellow,pink,blue,0.321384649126441,0.875143415321934,0.154542059187562,0.669882315638198,2,0,0
62,green,yellow,pink,blue,0.416238762994535,0.940541785904806,0.531936312471566,0.730878849313448,2,0,1
