condition,seqID,iSession,iRun,iTrial,stiID,category,ambiguous,miss,choice,presskey,rating,feedback,fixDU,choRT,rateRT,fdbDU
3,2,1,1,1,1,2,0,0,3,3,1,0.0,1.851,11.669,2.458,7.386
3,2,1,1,2,2,3,0,0,3,3,1,1.0,2.024,3.211,1.462,7.995
3,2,1,1,3,3,2,0,0,1,1,2,0.5,1.845,2.318,3.639,10.317
3,2,1,1,4,4,3,0,0,3,3,2,1.0,1.825,4.871,2.473,5.864
3,2,1,1,5,5,2,0,0,2,4,2,1.0,2.022,6.872,1.445,11.563
3,2,1,1,6,6,4,0,0,1,1,3,0.0,2.127,9.445,1.139,17.309
3,2,1,1,7,7,3,0,0,3,3,2,1.0,1.944,18.015,1.406,5.216
3,2,1,1,8,8,2,1,0,3,3,5,0.0,2.124,5.675,2.723,17.074
3,2,1,1,9,9,2,0,0,3,3,3,0.0,1.899,7.505,0.806,9.774
3,2,1,1,10,10,1,1,0,4,2,2,0.0,1.892,11.636,1.45,11.25
3,2,1,1,11,11,4,0,0,1,1,2,0.0,1.851,2.813,3.1,9.619
3,2,1,1,12,12,1,0,0,2,4,2,0.5,2.014,9.165,1.247,11.68
3,2,1,1,13,13,1,0,0,1,1,2,1.0,2.06,12.059,0.449,11.801
3,2,1,2,14,14,3,0,0,3,3,3,1.0,2.188,5.185,1.611,2.713
3,2,1,2,15,15,3,0,0,2,4,3,0.0,2.024,8.255,1.29,1.764
3,2,1,2,16,16,3,0,0,4,2,4,0.5,2.035,2.012,1.375,5.257
3,2,1,2,17,17,1,0,0,2,4,5,0.5,2.1,2.188,2.475,2.312
3,2,1,2,18,18,1,1,0,4,2,4,0.0,2.166,7.057,1.712,5.204
3,2,1,2,19,19,2,0,0,2,4,5,1.0,2.085,4.003,1.15,6.914
3,2,1,2,20,20,2,1,0,1,1,4,0.5,1.829,3.594,1.164,3.936
3,2,1,2,21,21,1,0,0,4,2,6,0.0,2.052,3.411,0.742,9.261
3,2,1,2,22,22,2,0,0,1,1,3,0.5,1.931,14.204,0.468,7.307
3,2,1,2,23,23,1,0,0,3,3,2,0.0,2.034,2.725,1.254,0.867
3,2,1,2,24,24,2,0,0,3,3,6,0.0,1.944,1.495,0.358,0.668
3,2,1,2,25,25,2,1,0,2,4,4,1.0,1.875,9.725,0.75,1.732
3,2,1,2,26,26,3,0,0,2,4,3,0.0,1.838,3.553,1.17,3.579
3,2,1,2,27,27,1,0,0,1,1,3,1.0,1.885,10.179,1.451,2.382
3,2,1,2,28,28,1,0,0,4,2,4,0.0,2.021,6.194,1.366,2.299
3,2,1,2,29,29,3,1,0,2,4,2,0.0,2.07,14.544,1.277,1.599
3,2,1,2,30,30,4,0,0,3,3,5,0.5,1.981,0.752,0.461,2.341
3,2,1,2,31,31,4,1,0,3,3,4,0.5,1.957,9.418,0.612,3.725
3,2,1,2,32,32,3,1,0,2,4,6,0.0,2.025,3.215,0.61,2.132
3,2,1,2,33,33,3,0,0,3,3,5,1.0,1.92,3.126,0.3,3.017
3,2,1,2,34,34,3,0,0,1,1,6,0.0,1.871,2.273,0.603,1.413
3,2,1,2,35,35,4,0,0,4,2,4,1.0,1.961,7.477,0.531,2.821
