iSub,n_trials,n_text,fidelity_parseable_rate,fidelity_mean,fidelity_full_rate,fidelity_low_rate,unsupported_rate,dominant_style_tags,legacy_region_encoded_rate,legacy_region_unparsed_rate
101,320,320,1.0,0.8854166666666666,0.840625,0.078125,0.0,"direct_absolute:320, comparison:23, equality:3, body_ref:2",1.0,0.0
102,448,448,0.9933035714285714,0.9502247191011236,0.8816964285714286,0.017857142857142856,0.006696428571428571,"direct_absolute:413, comparison:274, ranking:26, superlative:24, equality:6",0.9933035714285714,0.109375
103,256,256,1.0,0.9531746031746031,0.83203125,0.0,0.0,"direct_absolute:256, comparison:149, body_ref:70",1.0,0.046875
104,192,192,0.9947916666666666,0.8403141361256544,0.8125,0.13541666666666666,0.005208333333333333,"direct_absolute:177, comparison:22, equality:18",0.9947916666666666,0.010416666666666666
105,64,64,0.984375,0.9523809523809523,0.9375,0.046875,0.015625,"direct_absolute:64, comparison:24, body_ref:1",0.984375,0.015625
106,192,191,0.8541666666666666,0.918191056910569,0.765625,0.057291666666666664,0.14583333333333334,"direct_absolute:167, comparison:121, body_ref:20, superlative:19, equality:9",0.8541666666666666,0.14583333333333334
107,192,190,0.9895833333333334,0.8810526315789474,0.7239583333333334,0.052083333333333336,0.010416666666666666,"direct_absolute:190, comparison:65, ranking:25, negation:20, superlative:5",0.9895833333333334,0.026041666666666668
108,640,638,0.975,0.9282852564102564,0.8890625,0.0609375,0.025,"direct_absolute:636, comparison:506, body_ref:158, superlative:94, negation:9",0.975,0.0328125
109,448,445,0.9933035714285714,0.9263857677902622,0.78125,0.03125,0.006696428571428571,"direct_absolute:445, superlative:57, comparison:45, body_ref:7, ranking:5",0.9933035714285714,0.004464285714285714
110,448,447,0.9977678571428571,0.9056088207094919,0.7321428571428571,0.022321428571428572,0.002232142857142857,"direct_absolute:447, comparison:2, empty:1",0.9977678571428571,0.002232142857142857
111,320,320,1.0,0.9369791666666666,0.884375,0.021875,0.0,"direct_absolute:320, comparison:78, superlative:3, equality:3",1.0,0.003125
112,384,379,0.9739583333333334,0.9028520499108733,0.8385416666666666,0.07291666666666667,0.026041666666666668,"direct_absolute:374, comparison:302, empty:5, equality:5, other:4",0.9739583333333334,0.015625
113,384,383,0.9869791666666666,0.9248429450936048,0.8567708333333334,0.046875,0.013020833333333334,"direct_absolute:375, comparison:216, superlative:41, equality:33, ranking:5",0.9869791666666666,0.06770833333333333
114,512,512,0.994140625,0.9174852652259332,0.873046875,0.06640625,0.005859375,"direct_absolute:512, comparison:203, equality:35, superlative:8, negation:1",0.994140625,0.005859375
115,128,128,1.0,0.916015625,0.8828125,0.0625,0.0,"direct_absolute:128, comparison:34, count_abstract:2",1.0,0.0
116,128,128,0.984375,0.8941798941798941,0.75,0.03125,0.015625,"direct_absolute:128, comparison:27",0.984375,0.0390625
117,128,128,1.0,0.98828125,0.9765625,0.0078125,0.0,"direct_absolute:128, count_abstract:8",1.0,0.0
118,256,256,0.80078125,0.914730933023616,0.61328125,0.03125,0.19921875,"direct_absolute:254, comparison:123, count_abstract:50, superlative:35, equality:15",0.80078125,0.25390625
119,768,762,0.7252604166666666,0.925344105326152,0.6614583333333334,0.048177083333333336,0.2747395833333333,"direct_absolute:755, comparison:556, superlative:80, body_ref:55, count_abstract:49",0.7252604166666666,0.2669270833333333
120,528,526,0.9545454545454546,0.8731150793650793,0.7462121212121212,0.04924242424242424,0.045454545454545456,"direct_absolute:519, comparison:489, body_ref:358, equality:28, superlative:15",0.9545454545454546,0.054924242424242424
121,448,446,0.9709821428571429,0.9101532567049807,0.7991071428571429,0.04017857142857143,0.029017857142857144,"direct_absolute:439, comparison:306, equality:42, group_sum:36, superlative:19",0.9709821428571429,0.060267857142857144
122,256,256,1.0,0.7659505208333334,0.55859375,0.1484375,0.0,"direct_absolute:256, comparison:75, group_sum:75, body_ref:1",1.0,0.0
123,512,510,0.994140625,0.9083988212180747,0.78125,0.029296875,0.005859375,"direct_absolute:509, superlative:75, comparison:71, equality:15, ranking:3",0.994140625,0.013671875
124,128,128,1.0,0.9432291666666667,0.859375,0.0234375,0.0,direct_absolute:128,1.0,0.0
125,128,128,1.0,0.9762834821428572,0.90625,0.0,0.0,"direct_absolute:128, comparison:62, superlative:7, equality:6, group_sum:1",1.0,0.125
