rank,stream_index,run_index,error,subject_id,plot_path
1,6856,6856,0.039660142577039044,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_105_trajectory_accuracy.png
2,4401,4401,0.04056047800676931,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_105_trajectory_accuracy.png
3,5590,5590,0.042575023080057874,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_105_trajectory_accuracy.png
4,3896,3896,0.04270287119899929,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_105_trajectory_accuracy.png
100,638,638,0.052711710510034836,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_105_trajectory_accuracy.png
101,5147,5147,0.05272967095134285,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_105_trajectory_accuracy.png
102,1833,1833,0.05273718126861771,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_105_trajectory_accuracy.png
103,3287,3287,0.0528240323398414,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_105_trajectory_accuracy.png
1000,4254,4254,0.06581731068639672,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_105_trajectory_accuracy.png
1001,2246,2246,0.06581758006554463,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_105_trajectory_accuracy.png
1002,2261,2261,0.06586251990722998,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_105_trajectory_accuracy.png
1003,3402,3402,0.06586372984760125,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_105_trajectory_accuracy.png
4000,7285,7285,0.1441272152884583,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_105_trajectory_accuracy.png
4001,3933,3933,0.1441401239333746,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_105_trajectory_accuracy.png
4002,6178,6178,0.14429334097556046,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_105_trajectory_accuracy.png
4003,4750,4750,0.14433643453214562,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_105_trajectory_accuracy.png
1,5056,5056,0.06103587099214223,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_104_trajectory_accuracy.png
2,7146,7146,0.06159216418996105,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_104_trajectory_accuracy.png
3,240,240,0.06206417024643743,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_104_trajectory_accuracy.png
4,541,541,0.06328142541437247,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_104_trajectory_accuracy.png
100,1088,1088,0.06778050119785366,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_104_trajectory_accuracy.png
101,5820,5820,0.06778996669687952,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_104_trajectory_accuracy.png
102,395,395,0.06783520945030644,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_104_trajectory_accuracy.png
103,5870,5870,0.06784416329401145,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_104_trajectory_accuracy.png
1000,7574,7574,0.07633757060842311,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_104_trajectory_accuracy.png
1001,3732,3732,0.07634857888399266,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_104_trajectory_accuracy.png
1002,6213,6213,0.07635141130872859,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_104_trajectory_accuracy.png
1003,7612,7612,0.07635837752132577,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_accuracy/subject_104_trajectory_accuracy.png
