rank,stream_index,run_index,error,subject_id,plot_path
1,6856,6856,0.039660142577039044,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_105_top16_posterior.png
2,4401,4401,0.04056047800676931,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_105_top16_posterior.png
3,5590,5590,0.042575023080057874,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_105_top16_posterior.png
4,3896,3896,0.04270287119899929,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_105_top16_posterior.png
5,4481,4481,0.04350350004084585,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_105_top16_posterior.png
6,4443,4443,0.04372547937243476,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_105_top16_posterior.png
7,533,533,0.04380900912923821,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_105_top16_posterior.png
8,1929,1929,0.044414022157895694,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_105_top16_posterior.png
9,5485,5485,0.04468188814677815,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_105_top16_posterior.png
10,3624,3624,0.044977480288895554,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_105_top16_posterior.png
11,4791,4791,0.045335445587670824,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_105_top16_posterior.png
12,7726,7726,0.045460575601129836,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_105_top16_posterior.png
13,4129,4129,0.04580817066818349,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_105_top16_posterior.png
14,6558,6558,0.04601868207441632,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_105_top16_posterior.png
15,3589,3589,0.0462654475359399,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_105_top16_posterior.png
16,3927,3927,0.04640962437455611,105,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_105_top16_posterior.png
1,5056,5056,0.06103587099214223,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_104_top16_posterior.png
2,7146,7146,0.06159216418996105,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_104_top16_posterior.png
3,240,240,0.06206417024643743,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_104_top16_posterior.png
4,541,541,0.06328142541437247,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_104_top16_posterior.png
5,2817,2817,0.06356110646500891,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_104_top16_posterior.png
6,5352,5352,0.06360161284515596,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_104_top16_posterior.png
7,7637,7637,0.06364876270585933,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_104_top16_posterior.png
8,2753,2753,0.06380793699824738,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_104_top16_posterior.png
9,2786,2786,0.063908662224431,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_104_top16_posterior.png
10,3603,3603,0.06397896882301582,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_104_top16_posterior.png
11,4661,4661,0.06402265017291753,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_104_top16_posterior.png
12,1349,1349,0.06418342665593486,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_104_top16_posterior.png
13,3139,3139,0.06429355018632117,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_104_top16_posterior.png
14,4495,4495,0.06430040526518428,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_104_top16_posterior.png
15,7262,7262,0.0644114721421034,104,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_104_top16_posterior.png
