trial,true_choice,predicted_choice,hit,nonhit,rating,origin_true_choice_probability,origin_posterior,origin_pred_probs,origin_entropy,origin_top1_hypothesis,origin_top1_probability,origin_top3_mass
2,3,3,1,0,1,0.40437935643057826,"{""7"": 0.14745594513099672, ""8"": 0.01592006108037231, ""24"": 0.19214099481679223, ""70"": 0.20164219354892712, ""87"": 0.13996272311536834, ""103"": 0.15166834731896958, ""105"": 0.15120973498857365}","[0.10851116631350087, 0.2038397454206003, 0.40437935643057826, 0.2832697318353206]",1.8349226817881612,70,0.20164219354892712,0.545451535684689
3,2,2,1,0,3,0.42967464854283943,"{""4"": 0.23554906895057914, ""87"": 0.1284141901587043, ""100"": 0.19054493632488603, ""103"": 0.13508739401567832, ""105"": 0.13701892940219662, ""106"": 0.17338548114795554}","[0.17754427205727744, 0.42967464854283943, 0.04959132757172021, 0.3431897518281629]",1.7666117912794614,4,0.23554906895057914,0.5994794864234207
4,3,1,0,1,2,0.2537101366756058,"{""8"": 0.032101036087406276, ""64"": 0.1062027784250319, ""87"": 0.06604318444240868, ""90"": 0.26599896698264786, ""103"": 0.05974191195434113, ""106"": 0.2399292468759045, ""114"": 0.22998287523225963}","[0.4187550518197015, 0.06693463912309887, 0.2537101366756058, 0.2606001723815939]",1.7290933946486018,90,0.26599896698264786,0.735911089090812
5,2,2,1,0,1,0.42790056045251523,"{""12"": 0.04631964569470533, ""20"": 0.0507795612620962, ""44"": 0.030077359709165575, ""64"": 0.12390226492275522, ""67"": 4.0218085668705765e-08, ""90"": 0.4653572930183525, ""106"": 0.2835638351748396}","[0.12554040573698663, 0.42790056045251523, 0.1110530443496552, 0.3355059894608429]",1.3711262959719048,90,0.4653572930183525,0.8728233931159473
6,4,4,1,0,2,0.4339187081048519,"{""12"": 0.05637802767724642, ""37"": 0.07067136493770527, ""41"": 0.07477455937453442, ""44"": 0.03238788336077756, ""64"": 0.10399436389877893, ""67"": 3.984723001377774e-07, ""90"": 0.4299460535749569, ""106"": 0.23184734870370047}","[0.1263125948741917, 0.11471784303782123, 0.3250508539831353, 0.4339187081048519]",1.5915744956277031,90,0.4299460535749569,0.7657877661774363
7,3,3,1,0,1,0.5471984145571809,"{""12"": 0.010192217249446254, ""34"": 0.07889128940058107, ""41"": 0.0929890099583512, ""68"": 0.03836035633760494, ""72"": 0.04055165024900921, ""73"": 0.008064566310426988, ""90"": 0.3383221650726838, ""106"": 0.39262874542189663}","[0.12225601707432507, 0.16643668955265414, 0.5471984145571809, 0.16410887881583994]",1.4956316143628625,106,0.39262874542189663,0.8239399204529316
8,2,2,1,0,3,0.5180576974717415,"{""34"": 0.03519675538928155, ""41"": 0.03507020404342471, ""79"": 0.009353132220254922, ""80"": 0.008383990663706141, ""88"": 0.025559630336297073, ""90"": 0.3289215350674822, ""106"": 0.5575147522795534}","[0.27243393771993923, 0.5180576974717415, 0.16967050280423482, 0.0398378620040846]",1.1042789505146606,106,0.5575147522795534,0.9216330427363171
9,2,2,1,0,3,0.8755509828275632,"{""11"": 0.004374366257201514, ""34"": 0.05269216640663389, ""41"": 0.0048130479264527825, ""62"": 0.006067503336973035, ""80"": 0.0034533407713031377, ""88"": 0.0217853358291255, ""90"": 0.33377822656543243, ""106"": 0.5730360129068778}","[0.07943992568537506, 0.8755509828275632, 0.03071129893789571, 0.014297792549166074]",1.0237626014498489,106,0.5730360129068778,0.9595064058789441
10,1,1,1,0,2,0.6061776420001261,"{""11"": 0.0009264779151214933, ""34"": 0.03381818454542176, ""41"": 0.0004996503003551844, ""75"": 0.002142368779143179, ""88"": 0.016011364804911693, ""90"": 0.28288599911104856, ""102"": 0.014501256232682516, ""106"": 0.6163919783725703, ""114"": 0.03282271993874515}","[0.6061776420001261, 0.033338955439488595, 0.29733219962482815, 0.06315120293555704]",1.0331605615764206,106,0.6163919783725703,0.9330961620290406
11,4,4,1,0,1,0.896312875397822,"{""28"": 0.025475655525580797, ""34"": 0.031034340479259105, ""71"": 0.01786040686371708, ""75"": 0.0042435109221180154, ""84"": 0.005479290211219231, ""88"": 0.015559434385401222, ""90"": 0.06718142311093593, ""106"": 0.792826641216041, ""114"": 0.04033929728572753}","[0.012985563617614122, 0.043258701141730714, 0.04744285984283316, 0.896312875397822]",0.8846193606390901,106,0.792826641216041,0.9003473616127043
