trial_bin,trial_pct,active_capture_ratio_mean,active_capture_ratio_sem,active_topn_overlap_mean,active_topn_overlap_sem,active_oral_mass_mean,active_oral_mass_sem,oracle_topn_oral_mass_mean,oracle_topn_oral_mass_sem,random_expected_mass_mean,random_expected_mass_sem,n_active_mean,n_active_sem,active_fraction_mean,active_fraction_sem
1,0.025,0.49052428390746483,0.0061811838562444025,0.06123295271924954,0.005081701014952218,0.06201677860250337,0.001360790311582263,0.12763311998285895,0.002303143935793349,0.060597703607998404,0.0011725133434647096,7.029333618527815,0.1360115478419063,0.060597703607998404,0.0011725133434647096
2,0.075,0.5097211117000695,0.00879626677761277,0.07356900126156304,0.008444629600977213,0.06376766547840196,0.0023015445607083933,0.12628701100838569,0.003218928448369456,0.06059398089532016,0.0016911073582102029,7.028901783857139,0.19616845355238352,0.06059398089532016,0.0016911073582102029
3,0.125,0.5130579209731617,0.00966004359646134,0.07637654702746516,0.008623344504161223,0.06476787586286359,0.002659058578491376,0.1272240061184399,0.00428637514300662,0.06025858132513827,0.0021223623078619144,6.9899954337160395,0.24619402771198204,0.06025858132513827,0.0021223623078619144
4,0.175,0.5267487302513639,0.010862790369136156,0.0829354529663018,0.011078329740387322,0.06688559203937681,0.0031920641508121233,0.12752550741046437,0.004734331855615455,0.061471576110065415,0.0024857352679375725,7.130702828767588,0.2883452910807584,0.061471576110065415,0.0024857352679375725
5,0.225,0.5213553489712683,0.012541474088911243,0.0913341454552047,0.010867658797302197,0.06706382250797552,0.003367155121857415,0.1289243410751269,0.004944364104827706,0.061022333101445225,0.0026163823663841127,7.078590639767645,0.30350035450055707,0.061022333101445225,0.0026163823663841127
6,0.275,0.5328441100487343,0.017196343496025356,0.10737796531538699,0.015675581650644296,0.06944759473669215,0.004118944384206927,0.12985329247642335,0.005174738985205973,0.06164621154312398,0.002705700965169782,7.150960539002382,0.3138613119596947,0.06164621154312398,0.002705700965169782
7,0.325,0.5415493725310653,0.0132575214193003,0.09728702266715411,0.011992236718251122,0.07016140829732093,0.003848937910799522,0.129349700097669,0.005391893003188211,0.06229262785738993,0.0028884173806513523,7.225944831457231,0.33505641615555676,0.06229262785738993,0.0028884173806513523
8,0.375,0.5658567002300526,0.01249756635512232,0.11273504114726218,0.010830756945148285,0.0753337782791621,0.004245320017096651,0.1327693358029687,0.005863306985657956,0.0646110492012446,0.003084739510992208,7.494881707344372,0.35782978327509607,0.0646110492012446,0.003084739510992208
9,0.425,0.5658022076324032,0.013966416418488227,0.12067062685351701,0.01624486818841658,0.07447861996889614,0.00453120130553584,0.13044040129909387,0.005914759665979779,0.06382989850928758,0.0031767130957161133,7.40426822707736,0.36849871910306914,0.06382989850928758,0.0031767130957161133
10,0.475,0.5917050873472185,0.019417314884663264,0.16051056963383703,0.025835530751799222,0.07882666021139849,0.005273744648161362,0.13139439763723765,0.0059585398698886495,0.0647322751644026,0.003333231625048418,7.508943919070701,0.3866548685056165,0.0647322751644026,0.003333231625048418
11,0.525,0.6150188403463428,0.020962983786044765,0.1906324234931394,0.028090366142421754,0.0823741301359528,0.005406779349815556,0.13245985842830837,0.006016109629922211,0.06537576854034188,0.0033275785425111626,7.583589150679659,0.3859991109312948,0.06537576854034188,0.0033275785425111626
12,0.575,0.620588348548357,0.02031096562477697,0.19689381519182428,0.029489918333154837,0.08307569826905559,0.005409418824032866,0.13229165639054544,0.005977118046050949,0.06528514411540941,0.0033717158955335605,7.57307671738749,0.39111904388189295,0.06528514411540941,0.0033717158955335605
13,0.625,0.6323786237349318,0.019885397171094985,0.2112572683526146,0.02809424452571942,0.08620281795222214,0.005511352931936448,0.134650776960331,0.006268107476566111,0.06667456501247465,0.003552169826149133,7.734249541447059,0.4120516998332994,0.06667456501247465,0.003552169826149133
14,0.675,0.6475754169182953,0.019717968940433882,0.22377039963248158,0.027582078176145143,0.09051644736084724,0.005797331651837008,0.13744236173023613,0.006549303248371835,0.06827619362239123,0.003674537796262879,7.920038460197382,0.426246384366494,0.06827619362239123,0.003674537796262879
