rank,stream_index,run_index,error,subject_id,plot_path
1,1770,1770,0.0835510645109002,305,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_305_top16_posterior.png
2,3516,3516,0.08367176823274075,305,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_305_top16_posterior.png
3,3717,3717,0.08402745514289824,305,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_305_top16_posterior.png
4,3979,3979,0.08444010362133567,305,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_305_top16_posterior.png
5,1961,1961,0.08444924430536152,305,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_305_top16_posterior.png
6,1788,1788,0.08467348226257593,305,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_305_top16_posterior.png
7,422,422,0.08468722479986876,305,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_305_top16_posterior.png
8,2717,2717,0.08477230813885277,305,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_305_top16_posterior.png
9,2791,2791,0.0847765810951239,305,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_305_top16_posterior.png
10,3222,3222,0.08486223004174556,305,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_305_top16_posterior.png
11,2602,2602,0.08531404182505298,305,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_305_top16_posterior.png
12,516,516,0.08545808603719576,305,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_305_top16_posterior.png
13,3753,3753,0.08548064895249671,305,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_305_top16_posterior.png
14,186,186,0.08561171024321523,305,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_305_top16_posterior.png
15,10,10,0.08571504804033911,305,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_305_top16_posterior.png
16,332,332,0.08572041093853491,305,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_305_top16_posterior.png
1,2674,2674,0.02426715419298277,303,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_303_top16_posterior.png
2,1118,1118,0.028692192319600664,303,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_303_top16_posterior.png
3,3621,3621,0.029239094712067308,303,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_303_top16_posterior.png
4,2536,2536,0.02938224148813496,303,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_303_top16_posterior.png
5,1452,1452,0.029586751993418835,303,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_303_top16_posterior.png
6,2224,2224,0.030008885416272592,303,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_303_top16_posterior.png
7,2685,2685,0.030226442440619145,303,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_303_top16_posterior.png
8,2130,2130,0.030555743121486456,303,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_303_top16_posterior.png
9,2633,2633,0.03064135249290998,303,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_303_top16_posterior.png
10,3291,3291,0.03143940091960802,303,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_303_top16_posterior.png
11,2272,2272,0.031750740283820654,303,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_303_top16_posterior.png
12,2847,2847,0.03178392660949626,303,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_303_top16_posterior.png
13,3029,3029,0.03223841575290849,303,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_303_top16_posterior.png
14,2183,2183,0.03237212443193758,303,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_303_top16_posterior.png
15,3687,3687,0.03251432274616338,303,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_303_top16_posterior.png
16,2273,2273,0.03256957418071996,303,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_303_top16_posterior.png
1,3444,3444,0.05291560904952116,304,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_304_top16_posterior.png
2,1740,1740,0.05307040559977411,304,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_304_top16_posterior.png
3,2559,2559,0.05456265920413528,304,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_304_top16_posterior.png
4,1532,1532,0.05482193803514765,304,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_304_top16_posterior.png
5,3082,3082,0.05532153844486486,304,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_304_top16_posterior.png
6,3925,3925,0.055367151250313024,304,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_304_top16_posterior.png
7,868,868,0.05605366970666364,304,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_304_top16_posterior.png
8,3190,3190,0.05613411591780156,304,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_304_top16_posterior.png
9,922,922,0.05614300615898133,304,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_304_top16_posterior.png
10,1715,1715,0.05627574422335586,304,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_304_top16_posterior.png
11,4036,4036,0.05672778280314726,304,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_304_top16_posterior.png
12,3068,3068,0.05677234475836977,304,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_304_top16_posterior.png
13,1649,1649,0.05687834122609589,304,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_304_top16_posterior.png
14,2395,2395,0.057012175500389534,304,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_304_top16_posterior.png
15,2050,2050,0.057087105354803075,304,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_304_top16_posterior.png
16,5,5,0.05709356077520465,304,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_304_top16_posterior.png
1,1073,1073,0.07739647516911875,302,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_302_top16_posterior.png
2,358,358,0.07851061602370198,302,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_302_top16_posterior.png
3,2301,2301,0.07906498129433308,302,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_302_top16_posterior.png
4,3153,3153,0.0791236576374936,302,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_302_top16_posterior.png
5,574,574,0.07946095826248234,302,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_302_top16_posterior.png
6,829,829,0.07948472124593234,302,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_302_top16_posterior.png
7,2582,2582,0.07950885080638742,302,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_302_top16_posterior.png
8,1927,1927,0.07993573861838435,302,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_302_top16_posterior.png
9,2370,2370,0.08110255292212384,302,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_302_top16_posterior.png
10,2167,2167,0.08179910250739031,302,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_302_top16_posterior.png
11,3094,3094,0.08195329309285092,302,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_302_top16_posterior.png
12,3514,3514,0.08201472176741133,302,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_302_top16_posterior.png
13,1437,1437,0.08201536275028867,302,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_302_top16_posterior.png
14,3315,3315,0.08221806040798414,302,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_302_top16_posterior.png
15,399,399,0.08282208578569182,302,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_302_top16_posterior.png
16,2576,2576,0.08302448237494506,302,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_302_top16_posterior.png
1,2536,2536,0.06024395075611446,306,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_306_top16_posterior.png
2,2769,2769,0.06126914849536629,306,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_306_top16_posterior.png
3,3410,3410,0.061343142743386044,306,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_306_top16_posterior.png
4,2320,2320,0.06184993166234336,306,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_306_top16_posterior.png
5,3212,3212,0.062102063464779624,306,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_306_top16_posterior.png
6,3184,3184,0.062244162753522445,306,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_306_top16_posterior.png
7,2629,2629,0.06233590141521137,306,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_306_top16_posterior.png
8,1626,1626,0.06240055160610527,306,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_306_top16_posterior.png
9,1828,1828,0.062484782543901544,306,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_306_top16_posterior.png
10,2562,2562,0.06269506255792615,306,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_306_top16_posterior.png
11,490,490,0.06279898031690787,306,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_306_top16_posterior.png
12,1278,1278,0.06282521510466037,306,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_306_top16_posterior.png
13,1549,1549,0.06284856761555609,306,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_306_top16_posterior.png
14,1929,1929,0.06287651556274612,306,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_306_top16_posterior.png
15,1450,1450,0.0629595559182356,306,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_306_top16_posterior.png
16,3556,3556,0.06302571745028841,306,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_306_top16_posterior.png
1,891,891,0.07745840613716624,301,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_301_top16_posterior.png
2,2440,2440,0.07760914361450459,301,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_301_top16_posterior.png
3,631,631,0.07866041668272682,301,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_301_top16_posterior.png
4,1198,1198,0.08307509222861245,301,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_301_top16_posterior.png
5,1615,1615,0.08323341560080567,301,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_301_top16_posterior.png
6,2904,2904,0.08405423435153067,301,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_301_top16_posterior.png
7,3012,3012,0.08413018291449241,301,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_301_top16_posterior.png
8,1059,1059,0.08470283445628542,301,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_301_top16_posterior.png
9,2569,2569,0.08479122858973948,301,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_301_top16_posterior.png
10,3282,3282,0.08513424730023578,301,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_301_top16_posterior.png
11,3420,3420,0.08532771837467734,301,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_301_top16_posterior.png
12,2455,2455,0.08536463938583479,301,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_301_top16_posterior.png
13,463,463,0.08590443315584055,301,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_301_top16_posterior.png
14,3317,3317,0.08598493585019956,301,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_301_top16_posterior.png
15,4075,4075,0.08607341770303453,301,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_301_top16_posterior.png
16,2647,2647,0.08619009467884686,301,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_301_top16_posterior.png
1,1310,1310,0.06840988910609658,307,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_307_top16_posterior.png
2,2565,2565,0.070367976775139,307,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_307_top16_posterior.png
3,3859,3859,0.07273178000844277,307,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_307_top16_posterior.png
4,1193,1193,0.07310881036084779,307,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_307_top16_posterior.png
5,509,509,0.0742744623491016,307,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_307_top16_posterior.png
6,886,886,0.07569968451764326,307,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_307_top16_posterior.png
7,4068,4068,0.0758781055295521,307,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_307_top16_posterior.png
8,780,780,0.07678737172361255,307,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_307_top16_posterior.png
9,2240,2240,0.0768009566110357,307,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_307_top16_posterior.png
10,3678,3678,0.07683317876636679,307,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_307_top16_posterior.png
11,3863,3863,0.07686668135022057,307,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_307_top16_posterior.png
12,3989,3989,0.07708128609652636,307,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_307_top16_posterior.png
13,2683,2683,0.07736449244562543,307,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_307_top16_posterior.png
14,1755,1755,0.07806384971405318,307,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_307_top16_posterior.png
15,3621,3621,0.0781190835117166,307,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_307_top16_posterior.png
16,635,635,0.07875187043608578,307,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_307_top16_posterior.png
1,1526,1526,0.13031194122566647,308,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_308_top16_posterior.png
2,1707,1707,0.14256600989906715,308,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_308_top16_posterior.png
3,1049,1049,0.1555060344688952,308,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_308_top16_posterior.png
4,2963,2963,0.15570861386626178,308,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_308_top16_posterior.png
5,3302,3302,0.15570923255741673,308,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_308_top16_posterior.png
6,3336,3336,0.15608900663463104,308,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_308_top16_posterior.png
7,717,717,0.15621291007704152,308,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_308_top16_posterior.png
8,1467,1467,0.1562491519440328,308,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_308_top16_posterior.png
9,4037,4037,0.15625964867436448,308,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_308_top16_posterior.png
10,519,519,0.15633156079704896,308,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_308_top16_posterior.png
11,91,91,0.15637756438062647,308,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_308_top16_posterior.png
12,3727,3727,0.15638360176616747,308,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_308_top16_posterior.png
13,2664,2664,0.15639125425132003,308,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_308_top16_posterior.png
14,1409,1409,0.15641070647628574,308,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_308_top16_posterior.png
15,74,74,0.15648669873080626,308,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_308_top16_posterior.png
16,389,389,0.15652744650175276,308,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_308_top16_posterior.png
1,1170,1170,0.07734719126385765,309,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_309_top16_posterior.png
2,1185,1185,0.07775760582986764,309,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_309_top16_posterior.png
3,1799,1799,0.0815362319671764,309,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_309_top16_posterior.png
4,365,365,0.08172400654716518,309,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_309_top16_posterior.png
5,2479,2479,0.08266099596277385,309,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_309_top16_posterior.png
6,1259,1259,0.08321947924912677,309,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_309_top16_posterior.png
7,1643,1643,0.084161344143847,309,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_309_top16_posterior.png
8,1403,1403,0.0849379372514281,309,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_309_top16_posterior.png
9,2675,2675,0.0852450674753139,309,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_309_top16_posterior.png
10,672,672,0.08530675258193723,309,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_309_top16_posterior.png
11,189,189,0.08546705656948293,309,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_309_top16_posterior.png
12,1692,1692,0.08581256530470588,309,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_309_top16_posterior.png
13,830,830,0.08582855423623144,309,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_309_top16_posterior.png
14,2748,2748,0.08597797925971638,309,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_309_top16_posterior.png
15,328,328,0.08611303024843427,309,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_309_top16_posterior.png
16,3662,3662,0.08670680477409283,309,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_309_top16_posterior.png
1,2856,2856,0.04374276678034123,316,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_316_top16_posterior.png
2,861,861,0.04535020514558928,316,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_316_top16_posterior.png
3,1003,1003,0.04571497430831224,316,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_316_top16_posterior.png
4,1165,1165,0.04576940184458751,316,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_316_top16_posterior.png
5,2317,2317,0.04588484194809657,316,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_316_top16_posterior.png
6,988,988,0.04602632652905536,316,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_316_top16_posterior.png
7,1673,1673,0.04607962232174331,316,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_316_top16_posterior.png
8,497,497,0.046095122432976,316,results/state-based-grid-result/pmh/cond3_subjectwise_hyper_cd_best/plots/trajectory_posterior/subject_316_top16_posterior.png
