val,un_pro,origin
"[0.625, 0.625, 0.5, 0.5]",[],头和脖子都很长，尾巴长度中等。
"[0.5, 0.5, 0.625, 0.5]",[],腿很长，头和脖子长度中等。
"[0.5833333333333334, 0.5833333333333334, 0.5, 0.5]",[],头和脖子很长，尾巴长度中等，腿中等长度。
"[0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5]",[],头和脖子较长，腿较长，尾巴中等。
"[0.5833333333333334, 0.5, 0.4166666666666667, 0.5]",[],脖子较长，腿较短，尾巴长度中等。
"[0.75, 0.5, 0.5, 0.5]",[],脖子长。
"[0.5625, 0.4375, 0.4375, 0.5625]",[],尾巴较长，脖子较长，头较短，腿很短。
"[0.5833333333333334, 0.5833333333333334, 0.4166666666666667, 0.4166666666666667]",[],头和脖子较长，腿较短，尾巴较短。
"[0.5625, 0.5625, 0.4375, 0.4375]",[],头较长，脖子较长，腿较短，尾巴较短。
"[0.5625, 0.5625, 0.5, 0.5625]",[],头很长，脖子较长，腿长度中等，尾巴较长。
"[0.5833333333333334, 0.5833333333333334, 0.5, 0.5833333333333334]",[],头和脖子很长，腿长度中等，尾巴较长。
"[0.5, 0.25, 0.5, 0.5]",[],头较短。
"[0.4375, 0.5625, 0.5625, 0.5625]",[],头较长，脖子很短，腿很长，尾巴较长。
"[0.5833333333333334, 0.5833333333333334, 0.4166666666666667, 0.5833333333333334]",[],头和脖子较长，腿较短，尾巴较长。
"[0.4166666666666667, 0.4166666666666667, 0.5833333333333334, 0.5833333333333334]",[],头和脖子较短，腿较长，尾巴较长。
"[0.5625, 0.5625, 0.5, 0.5]",[],头很长，脖子较长，腿中等长度，尾巴中等长度。
"[0.4166666666666667, 0.4166666666666667, 0.5833333333333334, 0.5]",[],头和脖子较短，腿较长，尾巴长度中等。
"[0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5]",[],头和脖子较长，腿较长，尾巴长度中等。
"[0.4166666666666667, 0.4166666666666667, 0.5833333333333334, 0.4166666666666667]",[],头和脖子较短，腿较长，尾巴较短。
"[0.4166666666666667, 0.4166666666666667, 0.5833333333333334, 0.4166666666666667]",[],头和脖子较短，腿很长，尾巴较短。
"[0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334]",[],头和脖子很长，腿较长，尾巴很长。
"[0.5833333333333334, 0.4166666666666667, 0.5833333333333334, 0.4166666666666667]",[],头较短，脖子较长腿短，尾巴较短。
"[0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334]",[],脖子和头较长，腿较长，尾巴较长。
"[0.5, 0.5625, 0.5625, 0.5]",[],头较长，脖子中等，腿很长，尾巴长度中等。
"[0.4375, 0.5625, 0.5625, 0.5625]",[],头很长，脖子较短，腿很长，尾巴较长。
"[0.5, 0.5625, 0.5625, 0.4375]",[],头较长，脖子长度中等，腿很长，尾巴较短。
"[0.5625, 0.5625, 0.5625, 0.5]",[],头很长，脖子较长，腿较长，尾巴长度中等。
"[0.5625, 0.4375, 0.5625, 0.4375]",[],头较短，脖子很长，腿较长，尾巴较短。
"[0.5833333333333334, 0.5833333333333334, 0.4166666666666667, 0.5833333333333334]",[],头和脖子很长，腿很短，尾巴较长。
"[0.4375, 0.5625, 0.4375, 0.4375]",[],头很长，脖子较短，尾巴较短，腿较短。
"[0.5, 0.4375, 0.5625, 0.4375]",[],头较短，脖子中等，腿较长，尾巴较短。
"[0.4375, 0.5625, 0.5625, 0.5625]",[],头很长，脖子较短，腿较长，尾巴较长。
"[0.4166666666666667, 0.4166666666666667, 0.4166666666666667, 0.4166666666666667]",[],头和脖子较短，腿较短，尾巴较短。
"[0.4375, 0.5625, 0.4375, 0.5]",[],头很长，脖子较短，腿较短，尾巴中等。
"[0.5625, 0.5, 0.4375, 0.5625]",[],头中等长度，脖子很长，腿较短，尾巴较长。
"[0.5625, 0.4375, 0.4375, 0.5]",[],头较短，脖子较长，腿较短，尾巴中等。
"[0.4375, 0.5625, 0.5625, 0.5]",[],头较长，脖子较短，腿较长，尾巴中等长度。
"[0.4375, 0.5625, 0.4375, 0.5]",[],头很长，脖子较短，腿较短，尾巴中等长度。
"[0.5625, 0.4375, 0.5625, 0.4375]",[],头较短，脖子较长，腿很长，尾巴较短。
"[0.5625, 0.4375, 0.5625, 0.4375]",[],头很短，脖子很长，腿很长，尾巴较短。
"[0.5, 0.5, 0.5833333333333334, 0.4166666666666667]",[],头和脖子中等长度，腿很长，尾巴较短。
"[0.5, 0.5833333333333334, 0.4166666666666667, 0.4166666666666667]",[],头很长，脖子中等长度，腿和尾巴较短。
